candidate_key,n_estimators,max_depth,min_samples_leaf,max_features,max_samples,theoretical_max_nodes,threshold_oof,elapsed_seconds_total_search,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
rf__trees300__depth10__leaf10__featuressqrt,300,10,10,sqrt,0.8,614100,0.43689604912842733,628.2188806999475,0.7288971041281578,0.621092750260199,0.6206412953400905,0.82461786001609,0.41578947368421054,0.8219727345629511,0.42021276595744683,0.6650023887116314,0.374886321494908,1025,222,218,158
rf__trees300__depth6__leaf10__featuressqrt,300,6,10,sqrt,0.8,38100,0.4780556598538928,628.2188806999475,0.7270486752926679,0.6217475131805695,0.6204919534090003,0.8252427184466019,0.4134366925064599,0.8179631114675221,0.425531914893617,0.6663631012301864,0.3773542724550977,1020,227,216,160
rf__trees300__depth8__leaf10__features0p1,300,8,10,0.1,0.8,153300,0.4509722588066901,628.2188806999475,0.7301293900184843,0.6200370250302855,0.6202596153846154,0.8238590872698158,0.41711229946524064,0.8251804330392943,0.4148936170212766,0.6672780630961116,0.3765161886996167,1029,218,220,156
rf__trees100__depth10__leaf10__features0p1,100,10,10,0.1,0.8,204700,0.4048682905315784,628.2188806999475,0.6974738139248305,0.6396543193024962,0.6202206066324962,0.8411552346570397,0.3883495145631068,0.7473937449879712,0.5319148936170213,0.6654054837994164,0.3732691645400002,932,315,176,200
rf__trees300__depth6__leaf10__features0p1,300,6,10,0.1,0.8,38100,0.4542418885994204,628.2188806999475,0.7011706715958103,0.6355583186882561,0.6194791226055955,0.8377659574468085,0.3898989898989899,0.7578187650360866,0.5132978723404256,0.665716869422785,0.371243657042037,945,302,183,193
rf__trees100__depth6__leaf10__features0p1,100,6,10,0.1,0.8,12700,0.4691587304128378,628.2188806999475,0.718422674060382,0.6244934651674657,0.6193513621702347,0.8280730897009967,0.4033412887828162,0.7995188452285485,0.449468085106383,0.6655185210462558,0.3698035222507056,997,250,207,169
rf__trees300__depth6__leaf5__features0p1,300,6,5,0.1,0.8,38100,0.4601835174678667,628.2188806999475,0.7134935304990758,0.6268587162381204,0.6190842719171842,0.8302364864864865,0.39863325740318906,0.7882919005613472,0.4654255319148936,0.6610546161852274,0.3681820432869464,983,264,201,175
rf__trees200__depth6__leaf5__featuressqrt,200,6,5,sqrt,0.8,25400,0.4578411667839464,628.2188806999475,0.707332101047443,0.6302796925386887,0.618845498750374,0.8333333333333334,0.3935483870967742,0.7738572574178028,0.4867021276595745,0.6639999829377741,0.37189454287118384,965,282,193,183
rf__trees200__depth4__leaf5__featuressqrt,200,4,5,sqrt,0.8,6200,0.5107169624356318,628.2188806999475,0.7288971041281578,0.6183062754867,0.618525641025641,0.8230584467574059,0.4144385026737968,0.8243785084202085,0.4122340425531915,0.6607688239007662,0.36853542951047524,1028,219,221,155
rf__trees300__depth6__leaf5__featuressqrt,300,6,5,sqrt,0.8,38100,0.45616475276884005,628.2188806999475,0.7060998151571165,0.6304065928441024,0.6184178682945223,0.8336221837088388,0.39232409381663114,0.7714514835605453,0.48936170212765956,0.6675254653722126,0.3750181451336613,962,285,192,184
rf__trees100__depth4__leaf15__featuressqrt,100,4,15,sqrt,0.8,3100,0.5108554918643445,628.2188806999475,0.7276648182378311,0.6184331757921138,0.6182127636021476,0.8232931726907631,0.4126984126984127,0.8219727345629511,0.4148936170212766,0.6600564759678548,0.37111637435450723,1025,222,220,156
rf__trees300__depth10__leaf10__features0p1,300,10,10,0.1,0.8,614100,0.4092285020680456,628.2188806999475,0.7011706715958103,0.6318430189902575,0.6172409919821213,0.835387323943662,0.38809034907597534,0.7610264635124299,0.5026595744680851,0.668760343974475,0.3778718036996532,949,298,187,189
rf__trees200__depth6__leaf5__features0p1,200,6,5,0.1,0.8,25400,0.4651860357671552,628.2188806999475,0.7178065311152187,0.6213060280844239,0.6168855399332042,0.826302729528536,0.40096618357487923,0.8011226944667201,0.44148936170212766,0.6602036376665701,0.36795298440331564,999,248,210,166
rf__trees200__depth8__leaf10__featuressqrt,200,8,10,sqrt,0.8,102200,0.43699714730038763,628.2188806999475,0.7085643869377696,0.6264374925352761,0.616867953324187,0.8307692307692308,0.39293598233995586,0.7794707297514034,0.4734042553191489,0.6694982852462932,0.37583647983353213,972,275,198,178
rf__trees100__depth8__leaf5__featuressqrt,100,8,5,sqrt,0.8,51100,0.4257126805270668,628.2188806999475,0.7085643869377696,0.6264374925352761,0.616867953324187,0.8307692307692308,0.39293598233995586,0.7794707297514034,0.4734042553191489,0.662837618795748,0.37460450611779056,972,275,198,178
rf__trees200__depth6__leaf10__features0p1,200,6,10,0.1,0.8,25400,0.45811711436667457,628.2188806999475,0.7036352433764633,0.6288027436059308,0.616391808960258,0.8330434782608696,0.3890063424947146,0.7682437850842021,0.48936170212765956,0.6649618659250287,0.36951777867018265,958,289,192,184
rf__trees200__depth10__leaf10__features0p1,200,10,10,0.1,0.8,409400,0.4085591033169611,628.2188806999475,0.6987060998151571,0.6320968196010852,0.6163408060910025,0.8359929078014184,0.38585858585858585,0.756214915797915,0.5079787234042553,0.6678603115562457,0.3758333389294737,943,304,185,191
rf__trees100__depth6__leaf5__featuressqrt,100,6,5,sqrt,0.8,12700,0.4563959466275213,628.2188806999475,0.7036352433764633,0.6278739186814312,0.6158065663920376,0.8324652777777778,0.3885350318471338,0.7690457097032879,0.4867021276595745,0.66099063283796,0.3674196828699234,959,288,193,183
rf__trees100__depth8__leaf10__features0p1,100,8,10,0.1,0.8,51100,0.42965163150661,628.2188806999475,0.7042513863216266,0.6273460560664744,0.6157230743732514,0.832034632034632,0.3888888888888889,0.7706495589414595,0.48404255319148937,0.6638037673394872,0.3684425497192234,961,286,194,182
rf__trees300__depth4__leaf10__features0p1,300,4,10,0.1,0.8,9300,0.5045271714020828,628.2188806999475,0.7202711028958718,0.6182657527000972,0.6155713927960266,0.8242027800490597,0.4025,0.8083400160384924,0.42819148936170215,0.6666360968451944,0.3701847812024356,1008,239,215,161
rf__trees300__depth4__leaf10__featuressqrt,300,4,10,sqrt,0.8,9300,0.5086720717862423,628.2188806999475,0.722735674676525,0.6170831271647699,0.6155405120862462,0.8231954582319546,0.40512820512820513,0.813953488372093,0.42021276595744683,0.6612529645617568,0.37035429394347413,1015,232,218,158
rf__trees200__depth10__leaf10__featuressqrt,200,10,10,sqrt,0.8,409400,0.42685914731612346,628.2188806999475,0.7128773875539125,0.6218136293060792,0.615426310865232,0.8273260687342833,0.3953488372093023,0.7914995990376904,0.4521276595744681,0.6635755600675664,0.3733639681450558,987,260,206,170
rf__trees200__depth4__leaf10__features0p1,200,4,10,0.1,0.8,6200,0.510160215935158,628.2188806999475,0.7239679605668515,0.6160274019348564,0.61515857221493,0.8224374495560937,0.40625,0.8171611868484362,0.4148936170212766,0.6634646555989695,0.3684476754791659,1019,228,220,156
rf__trees100__depth10__leaf10__featuressqrt,100,10,10,sqrt,0.8,204700,0.42270859681182493,628.2188806999475,0.7079482439926063,0.624178880376734,0.6151411762351671,0.8294970161977835,0.39111111111111113,0.7802726543704892,0.46808510638297873,0.6585507345288266,0.37428621126175476,973,274,200,176
rf__trees300__depth4__leaf5__featuressqrt,300,4,5,sqrt,0.8,9300,0.5075571720019193,628.2188806999475,0.7233518176216882,0.6156264396253135,0.6146513773838828,0.8222940226171244,0.4051948051948052,0.8163592622293504,0.4148936170212766,0.6599071814908973,0.3691114169208155,1018,229,220,156
rf__trees100__depth4__leaf10__features0p1,100,4,10,0.1,0.8,3100,0.4886950655273365,628.2188806999475,0.6999383857054837,0.6282546195976727,0.6145199574919054,0.8333333333333334,0.38509316770186336,0.7618283881315157,0.4946808510638298,0.6681397055059803,0.3693664665069275,950,297,190,186
rf__trees200__depth4__leaf10__featuressqrt,200,4,10,sqrt,0.8,6200,0.5029782797689142,628.2188806999475,0.7159581022797289,0.6182454913067958,0.6140444543486369,0.824793388429752,0.39709443099273606,0.8003207698476343,0.43617021276595747,0.6624259925949939,0.3730373545830227,998,249,212,164
rf__trees200__depth8__leaf10__features0p1,200,8,10,0.1,0.8,102200,0.4370553354860491,628.2188806999475,0.7085643869377696,0.6217933679127778,0.6137878053823665,0.8279661016949152,0.3905191873589165,0.7834803528468324,0.4601063829787234,0.662605145967343,0.37295232849554194,977,270,203,173
rf__trees200__depth4__leaf5__features0p1,200,4,5,0.1,0.8,6200,0.5107834052937551,628.2188806999475,0.7239679605668515,0.6141697520858571,0.6137438643462739,0.8213998390989542,0.4052631578947368,0.8187650360866079,0.4095744680851064,0.6640447712808614,0.3685037156596628,1021,226,222,154
rf__trees100__depth10__leaf5__featuressqrt,100,10,5,sqrt,0.8,204700,0.39366195693507267,628.2188806999475,0.7030191004313001,0.6237576566738896,0.612928987056169,0.8300258843830889,0.3857758620689655,0.7714514835605453,0.47606382978723405,0.6579706188469349,0.3664748642526078,962,285,197,179
rf__trees100__depth4__leaf5__features0p1,100,4,5,0.1,0.8,3100,0.48501467109574714,628.2188806999475,0.6937769562538509,0.6298179460492416,0.6128601699491016,0.8354203935599285,0.3801980198019802,0.7489975942261428,0.5106382978723404,0.6663950929038203,0.36743425819561404,934,313,184,192
rf__trees100__depth6__leaf5__features0p1,100,6,5,0.1,0.8,12700,0.47874515803718326,628.2188806999475,0.7245841035120147,0.6127130645464007,0.6128176459443521,0.8205128205128205,0.4053333333333333,0.8211708099438653,0.40425531914893614,0.6559743384121892,0.36099783085699083,1024,223,224,152
rf__trees300__depth4__leaf5__features0p1,300,4,5,0.1,0.8,9300,0.4788381114286482,628.2188806999475,0.6900800985828712,0.6320562968144824,0.6125541217994991,0.837568058076225,0.3781190019193858,0.7401764234161988,0.523936170212766,0.6667725946526983,0.3708555044898623,923,324,179,197
rf__trees100__depth8__leaf10__featuressqrt,100,8,10,sqrt,0.8,51100,0.4285747891693956,628.2188806999475,0.6931608133086876,0.6275593338906994,0.6112488841347041,0.8340767172167708,0.3784860557768924,0.7497995188452286,0.5053191489361702,0.6641002235151598,0.3668319214573739,935,312,186,190
rf__trees100__depth4__leaf5__featuressqrt,100,4,5,sqrt,0.8,3100,0.5006467325964125,628.2188806999475,0.7104128157732594,0.6164944803699091,0.6108286974870516,0.8245614035087719,0.38967136150234744,0.7914995990376904,0.44148936170212766,0.6595851319763176,0.3683912830672912,987,260,210,166
rf__trees100__depth4__leaf10__featuressqrt,100,4,10,sqrt,0.8,3100,0.5041144727423885,628.2188806999475,0.7122612446087492,0.6121244177515399,0.608346385163957,0.8217821782178217,0.38929440389294406,0.7987169206094628,0.425531914893617,0.6606301933150198,0.3725530389409941,996,251,216,160
