candidate,representation_key,pca_components,c_value,penalty,class_weight,input_dimension,output_dimension,threshold,elapsed_seconds,max_iterations,selected,oof_tuned__n_samples,oof_tuned__n_no_cough,oof_tuned__n_cough,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__precision_cough,oof_tuned__recall_cough,oof_tuned__specificity_no_cough,oof_tuned__f1_cough,oof_tuned__macro_f1,oof_tuned__roc_auc,oof_tuned__tn_no_cough_correct,oof_tuned__fp_no_cough_as_cough,oof_tuned__fn_cough_as_no_cough,oof_tuned__tp_cough_correct,oof_0p5__n_samples,oof_0p5__n_no_cough,oof_0p5__n_cough,oof_0p5__accuracy,oof_0p5__balanced_accuracy,oof_0p5__precision_cough,oof_0p5__recall_cough,oof_0p5__specificity_no_cough,oof_0p5__f1_cough,oof_0p5__macro_f1,oof_0p5__roc_auc,oof_0p5__tn_no_cough_correct,oof_0p5__fp_no_cough_as_cough,oof_0p5__fn_cough_as_no_cough,oof_0p5__tp_cough_correct,oof_tuned__original_cough_count,oof_tuned__original_cough_recall,oof_tuned__new_fsd50k_cough_count,oof_tuned__new_fsd50k_cough_recall
s0_s1__log__peak_rms_crest__pcanone__C0p03__l1__weight_none,s0_s1__log__peak_rms_crest,,0.03,l1,,294,294,0.45,1.7479399999720044,14,False,7341,5237,2104,0.9242609998637787,0.9095259690662594,0.8626991565135895,0.875,0.9440519381325186,0.8688060405851817,0.9077848663285923,0.9603690942845255,4944,293,263,1841,7341,5237,2104,0.9253507696499115,0.9031813612704571,0.8840078973346496,0.8512357414448669,0.9551269810960473,0.8673123486682809,0.9076895329391442,0.9603690942845255,5002,235,313,1791,1983,0.9172970247100353,121,0.18181818181818182
s0_s1__log__peak_rms_crest__pcanone__C0p03__l1__weight_balanced,s0_s1__log__peak_rms_crest,,0.03,l1,balanced,294,294,0.68,1.7984411000506952,15,False,7341,5237,2104,0.9253507696499115,0.905598218583623,0.8776699029126214,0.8593155893536122,0.9518808478136338,0.8683957732949087,0.9081473066892873,0.9604828105952745,4985,252,296,1808,7341,5237,2104,0.9085955591881215,0.913758384876257,0.7909053999187983,0.9258555133079848,0.9016612564445293,0.8530764177797241,0.893369647347598,0.9604828105952745,4722,515,156,1948,1983,0.9016641452344932,121,0.1652892561983471
s0_s1__log__peak_rms_crest__pcanone__C0p03__l2__weight_none,s0_s1__log__peak_rms_crest,,0.03,l2,,294,294,0.49,2.3945069999899715,6,False,7341,5237,2104,0.9306633973573083,0.9177096409650258,0.8728377746610566,0.8873574144486692,0.9480618674813824,0.8800377091680415,0.9156391247248388,0.9656849914798985,4965,272,237,1867,7341,5237,2104,0.9303909549107751,0.9159548430987177,0.8758848513449741,0.8821292775665399,0.9497804086308955,0.8789959744257637,0.9150692655377695,0.9656849914798985,4974,263,248,1856,1983,0.929399899142713,121,0.19834710743801653
s0_s1__log__peak_rms_crest__pcanone__C0p03__l2__weight_balanced,s0_s1__log__peak_rms_crest,,0.03,l2,balanced,294,294,0.72,2.585955499962438,8,False,7341,5237,2104,0.9305271761340417,0.9109322668262023,0.8895405669599218,0.8650190114068441,0.9568455222455604,0.8771084337349397,0.9143422913072724,0.9650719398604981,5011,226,284,1820,7341,5237,2104,0.915679062797984,0.9194338996944089,0.8066914498141264,0.9282319391634981,0.9106358602253198,0.8632044198895028,0.9011306140010673,0.9650719398604981,4769,468,151,1953,1983,0.908219868885527,121,0.15702479338842976
s0_s1__log__peak_rms_crest__pcanone__C0p1__l1__weight_none,s0_s1__log__peak_rms_crest,,0.1,l1,,294,294,0.44,2.1318357999552973,14,False,7341,5237,2104,0.9309358398038414,0.9190379345995988,0.8708778448676265,0.8911596958174905,0.9469161733817071,0.8809020436927414,0.9161344750837808,0.9650304647176315,4959,278,229,1875,7341,5237,2104,0.9306633973573083,0.912449422106959,0.8861985472154964,0.8697718631178707,0.9551269810960473,0.8779083713120652,0.9147460623800885,0.9650304647176315,5002,235,274,1830,1983,0.9334341906202723,121,0.19834710743801653
s0_s1__log__peak_rms_crest__pcanone__C0p1__l1__weight_balanced,s0_s1__log__peak_rms_crest,,0.1,l1,balanced,294,294,0.66,2.3206609999760985,16,False,7341,5237,2104,0.9306633973573083,0.9162879601925753,0.8763567720622936,0.8826045627376425,0.9499713576475081,0.879469571394743,0.9154016754573868,0.9653148008721216,4975,262,247,1857,7341,5237,2104,0.9179948235935159,0.9197774536404104,0.8147527242246437,0.9239543726235742,0.9156005346572466,0.865924276169265,0.9034291710516655,0.9653148008721216,4795,442,160,1944,1983,0.9253656076651539,121,0.18181818181818182
s0_s1__log__peak_rms_crest__pcanone__C0p1__l2__weight_none,s0_s1__log__peak_rms_crest,,0.1,l2,,294,294,0.58,2.9490983999567106,8,False,7341,5237,2104,0.9318893883667075,0.9089014822871191,0.9022066198595787,0.8550380228136882,0.9627649417605499,0.8779892630551489,0.9153740721927295,0.966260016655401,5042,195,305,1799,7341,5237,2104,0.9288925214548427,0.9126299342714279,0.877025738798856,0.8745247148288974,0.9507351537139583,0.8757734412184673,0.9129821404565619,0.966260016655401,4979,258,264,1840,1983,0.8991427130610187,121,0.1322314049586777
s0_s1__log__peak_rms_crest__pcanone__C0p1__l2__weight_balanced,s0_s1__log__peak_rms_crest,,0.1,l2,balanced,294,294,0.75,3.1094779000268318,10,False,7341,5237,2104,0.9298460700177088,0.9073271965852798,0.8958644743398106,0.8545627376425855,0.960091655527974,0.8747263439552421,0.9130040763386087,0.9654675419343642,5028,209,306,1798,7341,5237,2104,0.9163601689143168,0.9183474233862448,0.8111946532999165,0.9230038022813688,0.9136910444911208,0.8634948866162739,0.9016021173065658,0.9654675419343642,4785,452,162,1942,1983,0.8981341401916288,121,0.14049586776859505
s0_s1__log__peak_rms_crest__pcanone__C0p3__l1__weight_none,s0_s1__log__peak_rms_crest,,0.3,l1,,294,294,0.49,3.4565011999802664,16,True,7341,5237,2104,0.93338782182264,0.917913114204211,0.8854415274463007,0.8816539923954373,0.9541722360129845,0.8835437008811622,0.9184483743364125,0.9665570585429355,4997,240,249,1855,7341,5237,2104,0.9324342732597739,0.9158231118736164,0.8861671469740634,0.8769011406844106,0.9547450830628222,0.8815097945532728,0.9171268484961486,0.9665570585429355,5000,237,259,1845,1983,0.9258698940998488,121,0.15702479338842976
s0_s1__log__peak_rms_crest__pcanone__C0p3__l1__weight_balanced,s0_s1__log__peak_rms_crest,,0.3,l1,balanced,294,294,0.7,3.702248200017493,16,False,7341,5237,2104,0.9305271761340417,0.9136334602938582,0.8824376199616123,0.8740494296577946,0.9532174909299217,0.8782234957020058,0.914812148079705,0.9659799459970044,4992,245,265,1839,7341,5237,2104,0.918267266040049,0.9185467218845724,0.8181049069373942,0.9192015209125475,0.9178919228565973,0.8657117278424351,0.9034844129715407,0.9659799459970044,4807,430,170,1934,1983,0.9178013111447302,121,0.15702479338842976
