candidate_key,n_estimators,max_depth,min_samples_leaf,max_features,max_samples,theoretical_max_nodes,threshold_oof,elapsed_seconds_total_search,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
rf__trees300__depth8__leaf5__featuressqrt,300,8,5,sqrt,0.8,153300,0.42879138435077774,686.932834899053,0.6500308071472581,0.5864884232797011,0.569206325470111,0.8146431881371641,0.3235294117647059,0.7048917401764234,0.46808510638297873,0.6099895067310481,0.3174297715484995,879,368,200,176
rf__trees100__depth10__leaf15__featuressqrt,100,10,15,sqrt,0.8,204700,0.44477355570455157,686.932834899053,0.685150955021565,0.5712614530191609,0.5692041980817228,0.8021346469622331,0.3333333333333333,0.7834803528468324,0.35904255319148937,0.6109983108396322,0.32625331153064985,977,270,241,135
rf__trees300__depth6__leaf10__featuressqrt,300,6,10,sqrt,0.8,38100,0.47322679640761467,686.932834899053,0.6931608133086876,0.5690433636472214,0.5690433636472214,0.8003207698476343,0.3377659574468085,0.8003207698476343,0.3377659574468085,0.6151636267467453,0.3142908727267108,998,249,249,127
rf__trees300__depth10__leaf10__featuressqrt,300,10,10,sqrt,0.8,614100,0.4271629558100836,686.932834899053,0.6752926678989526,0.5741343053114709,0.5689977238518856,0.8045685279187818,0.3287981859410431,0.7626303127506014,0.38563829787234044,0.611407804262144,0.31474583575156134,951,296,231,145
rf__trees150__depth6__leaf15__featuressqrt,150,6,15,sqrt,0.8,19050,0.4718779034410093,686.932834899053,0.6660505237215034,0.5774081199133239,0.5687252167978631,0.8073234524847428,0.32563025210084034,0.7425821972734563,0.4122340425531915,0.6060566636523401,0.3046573128217419,926,321,221,155
rf__trees300__depth6__leaf15__featuressqrt,300,6,15,sqrt,0.8,38100,0.47278889561205834,686.932834899053,0.6746765249537893,0.573733343001928,0.568530147464584,0.8044030482641829,0.32805429864253394,0.7618283881315157,0.38563829787234044,0.6081638485556826,0.30957020323821316,950,297,231,145
rf__trees200__depth4__leaf15__featuressqrt,200,4,15,sqrt,0.8,6200,0.48583278051243806,686.932834899053,0.6475662353666051,0.5867422238905288,0.5684281187706406,0.8151260504201681,0.322463768115942,0.7000801924619086,0.4734042553191489,0.6091363954341484,0.3046010015037777,873,374,198,178
rf__trees150__depth10__leaf10__featuressqrt,150,10,10,sqrt,0.8,307050,0.43717001669779787,686.932834899053,0.7036352433764633,0.5656426487399546,0.5677461436112045,0.7978227060653188,0.34421364985163205,0.8227746591820368,0.30851063829787234,0.6065578665392688,0.3098120042244808,1026,221,260,116
rf__trees150__depth6__leaf5__featuressqrt,150,6,5,sqrt,0.8,19050,0.4689384070383402,686.932834899053,0.6802218114602587,0.5708402293163166,0.5677097526616013,0.8023255813953488,0.32935560859188545,0.7746591820368885,0.3670212765957447,0.6088889931580473,0.3119144130230814,966,281,238,138
rf__trees150__depth10__leaf15__features0p5,150,10,15,0.5,0.8,307050,0.4454319171788015,686.932834899053,0.7005545286506469,0.5654954870412394,0.5671591502737159,0.79796397807361,0.34104046242774566,0.8171611868484362,0.31382978723404253,0.6062891364807453,0.3107618780391006,1019,228,258,118
rf__trees150__depth4__leaf15__featuressqrt,150,4,15,sqrt,0.8,4650,0.4880916863033684,686.932834899053,0.6549599507085644,0.5804078725110478,0.5671521806218592,0.8102981029810298,0.32170542635658916,0.7193263833199679,0.44148936170212766,0.604996672865942,0.30322571059669334,897,350,210,166
rf__trees150__depth8__leaf5__features0p5,150,8,5,0.5,0.8,76650,0.4445059820574818,686.932834899053,0.7110289587184226,0.5639524219829719,0.5670234859072611,0.7964939024390244,0.3504823151125402,0.8380112269446672,0.2898936170212766,0.6148757016840417,0.323415824674137,1045,202,267,109
rf__trees300__depth4__leaf15__featuressqrt,300,4,15,sqrt,0.8,9300,0.4900066895291658,686.932834899053,0.6728280961182994,0.5716016311487997,0.5664298618563143,0.8033898305084746,0.32505643340857787,0.7602245388933441,0.3829787234042553,0.6022112644815643,0.30269342919987935,948,299,232,144
rf__trees300__depth6__leaf5__featuressqrt,300,6,5,sqrt,0.8,38100,0.4582088517430944,686.932834899053,0.6377079482439926,0.5896150761828388,0.566186391059746,0.8183574879227054,0.3197278911564626,0.6792301523656776,0.5,0.611390742036206,0.3188508452578979,847,400,188,188
rf__trees100__depth8__leaf15__featuressqrt,100,8,15,sqrt,0.8,51100,0.4619761436044266,686.932834899053,0.6956253850893407,0.5650742633383952,0.5659957994110515,0.7980997624703088,0.33611111111111114,0.8083400160384924,0.32180851063829785,0.6069972188571722,0.3074978999564306,1008,239,255,121
rf__trees100__depth4__leaf5__featuressqrt,100,4,5,sqrt,0.8,3100,0.48928456848357804,686.932834899053,0.6635859519408502,0.573946620826153,0.5655423770694341,0.8055797733217088,0.32142857142857145,0.7409783480352847,0.40691489361702127,0.6093539388148578,0.31406312283288984,924,323,223,153
rf__trees100__depth6__leaf5__featuressqrt,100,6,5,sqrt,0.8,12700,0.4723490679257406,686.932834899053,0.6857670979667283,0.5660894657817059,0.565063180992736,0.7993501218521527,0.32908163265306123,0.789093825180433,0.34308510638297873,0.6017783104983876,0.3064114234296631,984,263,247,129
rf__trees100__depth10__leaf10__featuressqrt,100,10,10,sqrt,0.8,204700,0.4174525930091123,686.932834899053,0.6358595194085028,0.5874833643297105,0.5642339397546299,0.8172147001934236,0.3174872665534805,0.677626303127506,0.4973404255319149,0.603962275418451,0.3100782856303335,845,402,189,187
rf__trees100__depth4__leaf10__featuressqrt,100,4,10,sqrt,0.8,3100,0.4894636516156181,686.932834899053,0.6617375231053605,0.5727437338975243,0.5641418477184177,0.8050699300699301,0.31941544885177453,0.7385725741780272,0.40691489361702127,0.6076349195516046,0.3123535019723561,921,326,223,153
rf__trees100__depth4__leaf15__featuressqrt,100,4,15,sqrt,0.8,3100,0.4884264551095854,686.932834899053,0.6549599507085644,0.5757637478885496,0.564096366126823,0.8075201432408237,0.3181818181818182,0.723336006415397,0.42819148936170215,0.6042715282635772,0.3084519684564628,902,345,215,161
rf__trees100__depth8__leaf5__features0p5,100,8,5,0.5,0.8,51100,0.4312764882218286,686.932834899053,0.674060382008626,0.5659017812963879,0.5623416893974652,0.8001672240802675,0.32084309133489464,0.7674418604651163,0.36436170212765956,0.6092707604634101,0.31594927688203245,957,290,239,137
rf__trees100__depth6__leaf15__featuressqrt,100,6,15,sqrt,0.8,12700,0.4779101675777879,686.932834899053,0.6857670979667283,0.5623741660837073,0.5618992674768175,0.7974172719935432,0.3255208333333333,0.7923015236567763,0.3324468085106383,0.5984874336705968,0.30415069239111303,988,259,251,125
rf__trees200__depth6__leaf5__featuressqrt,200,6,5,sqrt,0.8,25400,0.4648015866226225,686.932834899053,0.6611213801601972,0.5695562968144824,0.5616959638613376,0.803307223672759,0.31645569620253167,0.7401764234161988,0.39893617021276595,0.6080700063130235,0.3168978579053664,923,324,226,150
