candidate_key,representation_key,C,penalty,pca_components,pca_whiten,gold_multiplier,wet_cost,threshold_oof_constrained,minimum_wet_recall_oof,elapsed_fit_seconds,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,native__accuracy,native__balanced_accuracy,native__macro_f1,native__dry_precision,native__wet_precision,native__dry_recall,native__wet_recall,native__roc_auc,native__average_precision_wet,native__tn_dry_correct,native__fp_dry_as_wet,native__fn_wet_as_dry,native__tp_wet_correct
logistic_regression__C0.0003__pca512__no_whiten__gold1__wetcost1,logistic_regression__C0.0003__pca512__no_whiten,0.0003,l2,512,False,1.0,1.0,0.5176715768086277,0.550531914893617,0.2846449999988181,0.6703635243376463,0.6489479004930983,0.6118837186537454,0.8538767395626242,0.3711507293354943,0.6888532477947072,0.6090425531914894,0.6848649524817008,0.37884797475303006,859,388,147,229,0.6444855206407887,0.6469686822842908,0.5972155615092174,0.8594420600858369,0.3545586107091172,0.6423416198877305,0.651595744680851,0.6848649524817008,0.37884797475303006,801,446,131,245
logistic_regression__C0.0001__pca64__no_whiten__gold1__wetcost1,logistic_regression__C0.0001__pca64__no_whiten,0.0001,l2,64,False,1.0,1.0,0.5234258791417394,0.550531914893617,0.03344469999865396,0.678373382624769,0.6402280366496613,0.6115871997065836,0.8455672068636797,0.37282229965156793,0.7113071371291099,0.5691489361702128,0.6759520722073401,0.3708499843699613,887,360,162,214,0.640788662969809,0.6408476087290348,0.5926367927879058,0.8554603854389722,0.3497822931785196,0.640737770649559,0.6409574468085106,0.6759520722073401,0.3708499843699613,799,448,135,241
logistic_regression__C0.0001__pca128__no_whiten__gold1__wetcost1,logistic_regression__C0.0001__pca128__no_whiten,0.0001,l2,128,False,1.0,1.0,0.5293058592950831,0.550531914893617,0.05016020000039134,0.6820702402957486,0.6361320360354212,0.6111816814307204,0.8419083255378859,0.37364620938628157,0.7217321571772254,0.550531914893617,0.6780144687675954,0.3713864704592816,900,347,169,207,0.6389402341343191,0.6396447218004061,0.5911283416390669,0.8549946294307197,0.34826589595375723,0.6383319967923016,0.6409574468085106,0.6780144687675954,0.3713864704592816,796,451,135,241
logistic_regression__C0.0001__pca512__no_whiten__gold1__wetcost1,logistic_regression__C0.0001__pca512__no_whiten,0.0001,l2,512,False,1.0,1.0,0.5265046324715639,0.550531914893617,0.20411030000104802,0.6796056685150955,0.6373146615707486,0.6106549057961654,0.8432483474976393,0.3723404255319149,0.7161186848436247,0.5585106382978723,0.6780400621065025,0.3715794178075436,893,354,166,210,0.6377079482439926,0.6379139722568206,0.5897328752282787,0.8539205155746509,0.3468208092485549,0.6375300721732157,0.6382978723404256,0.6780400621065025,0.3715794178075436,795,452,136,240
logistic_regression__C0.0001__pca384__no_whiten__gold1__wetcost1,logistic_regression__C0.0001__pca384__no_whiten,0.0001,l2,384,False,1.0,1.0,0.5266966340889442,0.550531914893617,0.1323854999991454,0.6796056685150955,0.6373146615707486,0.6106549057961654,0.8432483474976393,0.3723404255319149,0.7161186848436247,0.5585106382978723,0.6779654148680236,0.3715578428849133,893,354,166,210,0.6370918052988294,0.636584185022778,0.5888387620951977,0.8530042918454935,0.3458755426917511,0.6375300721732157,0.6356382978723404,0.6779654148680236,0.3715578428849133,795,452,137,239
logistic_regression__C0.0001__pca256__no_whiten__gold1__wetcost1,logistic_regression__C0.0001__pca256__no_whiten,0.0001,l2,256,False,1.0,1.0,0.5288984169160738,0.550531914893617,0.08118339999964519,0.680837954405422,0.6353301114163353,0.6101756058475931,0.8416119962511716,0.3723021582733813,0.7201283079390537,0.550531914893617,0.6779355559726323,0.37165607801477984,898,349,169,207,0.6377079482439926,0.6369851473323209,0.5893402413205502,0.8531618435155413,0.3463768115942029,0.6383319967923016,0.6356382978723404,0.6779355559726323,0.37165607801477984,796,451,137,239
logistic_regression__C0.0001__pca192__no_whiten__gold1__wetcost1,logistic_regression__C0.0001__pca192__no_whiten,0.0001,l2,192,False,1.0,1.0,0.5273823532764668,0.550531914893617,0.06487960000049497,0.6796056685150955,0.6363858366462489,0.6101628524867615,0.8426013195098964,0.3718861209964413,0.7169206094627105,0.5558510638297872,0.6777628009350101,0.3716708647581274,894,353,167,209,0.636475662353666,0.6371120476377348,0.5887292124793843,0.8536060279870828,0.345821325648415,0.6359262229350441,0.6382978723404256,0.6777628009350101,0.3716708647581274,793,454,136,240
logistic_regression__C0.003__pca64__whiten__gold1__wetcost1,logistic_regression__C0.003__pca64__whiten,0.003,l2,64,True,1.0,1.0,0.5076108751245896,0.550531914893617,0.02035370000066905,0.6728280961182994,0.6310464263167773,0.6041559780134882,0.8403041825095057,0.36427320490367776,0.7089013632718525,0.5531914893617021,0.6734247299902745,0.37476629535148104,884,363,168,208,0.6555760936537277,0.6300365558190721,0.5953815202833935,0.843313373253493,0.3526570048309179,0.677626303127506,0.5824468085106383,0.6734247299902745,0.37476629535148104,845,402,157,219
logistic_regression__C3e-05__pca64__whiten__gold1__wetcost1,logistic_regression__C3e-05__pca64__whiten,3e-05,l2,64,True,1.0,1.0,0.5003288280023015,0.550531914893617,0.06109990000004473,0.6722119531731362,0.631574288931734,0.6041463414634146,0.8408007626310772,0.3641114982578397,0.7072975140336808,0.5558510638297872,0.67384702008224,0.3761338206819155,882,365,167,209,0.6309303758471966,0.6316457370028494,0.5834404893254636,0.8506493506493507,0.34048640915593703,0.6303127506014434,0.6329787234042553,0.67384702008224,0.3761338206819155,786,461,138,238
logistic_regression__C1e-05__pca64__whiten__gold1__wetcost1,logistic_regression__C1e-05__pca64__whiten,1e-05,l2,64,True,1.0,1.0,0.5001083382741163,0.550531914893617,0.01694070000121428,0.6715958102279729,0.6321021515466907,0.6041334798320908,0.8413001912045889,0.36395147313691506,0.7056936647955092,0.5585106382978723,0.6738598167516935,0.3761723805290117,880,367,166,210,0.6309303758471966,0.6325745619273491,0.5838306550520053,0.851409978308026,0.340941512125535,0.6295108259823576,0.6356382978723404,0.6738598167516935,0.3761723805290117,785,462,137,239
