candidate_key,representation_key,C,penalty,pca_components,pca_whiten,gold_multiplier,wet_cost,threshold_oof_constrained,minimum_wet_recall_oof,elapsed_fit_seconds,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,native__accuracy,native__balanced_accuracy,native__macro_f1,native__dry_precision,native__wet_precision,native__dry_recall,native__wet_recall,native__roc_auc,native__average_precision_wet,native__tn_dry_correct,native__fp_dry_as_wet,native__fn_wet_as_dry,native__tp_wet_correct
logistic_regression__C0.001__pca128__no_whiten__gold1p5__wetcost1,logistic_regression__C0.001__pca128__no_whiten,0.001,l2,128,False,1.5,1.0,0.5430145034265761,0.550531914893617,0.08753799999976764,0.6956253850893407,0.644953206845365,0.6223277171271051,0.845096241979835,0.3890977443609023,0.739374498797113,0.550531914893617,0.68427630568684,0.38077595505242806,922,325,169,207,0.6383240911891559,0.6327419850193656,0.5878438506514154,0.8495762711864406,0.3446244477172312,0.6431435445068163,0.6223404255319149,0.68427630568684,0.38077595505242806,802,445,142,234
logistic_regression__C0.001__pca128__no_whiten__gold1p5__wetcost1p15,logistic_regression__C0.001__pca128__no_whiten,0.001,l2,128,False,1.5,1.15,0.5510686083454099,0.550531914893617,0.0910198000001401,0.6956253850893407,0.644953206845365,0.6223277171271051,0.845096241979835,0.3890977443609023,0.739374498797113,0.550531914893617,0.6841099489839444,0.3807409441087911,922,325,169,207,0.6247689463955638,0.631351413605419,0.5799784041417133,0.8520971302428256,0.33751743375174337,0.6190858059342422,0.6436170212765957,0.6841099489839444,0.3807409441087911,772,475,134,242
logistic_regression__C0.001__pca128__no_whiten__gold1__wetcost1p5,logistic_regression__C0.001__pca128__no_whiten,0.001,l2,128,False,1.0,1.5,0.5629456839563542,0.550531914893617,0.08500270000058663,0.6925446703635243,0.6475925199201488,0.6222815884678581,0.8475836431226765,0.3875685557586837,0.731355252606255,0.5638297872340425,0.682482639185108,0.3788463494394625,912,335,164,212,0.6081330868761553,0.6288848555682574,0.5697085002150982,0.8548199767711963,0.3293963254593176,0.5902165196471532,0.6675531914893617,0.682482639185108,0.3788463494394625,736,511,125,251
logistic_regression__C0.001__pca128__no_whiten__gold1p5__wetcost1p5,logistic_regression__C0.001__pca128__no_whiten,0.001,l2,128,False,1.5,1.5,0.5591471348617088,0.550531914893617,0.07464689999960683,0.6888478126925447,0.6479732208363903,0.6206864634843355,0.8486842105263158,0.38461538461538464,0.7241379310344828,0.5718085106382979,0.6835788872016243,0.38024435657422345,903,344,161,215,0.6093653727664818,0.6306156051118429,0.5710616181389501,0.8559814169570267,0.33070866141732286,0.591018444266239,0.6702127659574468,0.6835788872016243,0.38024435657422345,737,510,124,252
logistic_regression__C0.0003__pca64__no_whiten__gold1__wetcost1p3,logistic_regression__C0.0003__pca64__no_whiten,0.0003,l2,64,False,1.0,1.3,0.5436430204069445,0.550531914893617,0.034666200000174285,0.6913123844731978,0.6449329454520636,0.6202710938320899,0.8460111317254174,0.3853211009174312,0.731355252606255,0.5585106382978723,0.6817916190346193,0.378180967810998,912,335,166,210,0.6426370918052988,0.65133874490266,0.5979667282809612,0.8636859323882224,0.3555240793201133,0.6351242983159583,0.6675531914893617,0.6817916190346193,0.378180967810998,792,455,125,251
logistic_regression__C0.0003__pca64__no_whiten__gold1__wetcost1,logistic_regression__C0.0003__pca64__no_whiten,0.0003,l2,64,False,1.0,1.0,0.5369963217661129,0.550531914893617,0.032718699999350065,0.6913123844731978,0.6449329454520636,0.6202710938320899,0.8460111317254174,0.3853211009174312,0.731355252606255,0.5585106382978723,0.6817148390178982,0.37840533986562047,912,335,166,210,0.6487985212569316,0.6516330683000904,0.6015287416524813,0.8620320855614974,0.35901162790697677,0.6463512429831596,0.6569148936170213,0.6817148390178982,0.37840533986562047,806,441,129,247
logistic_regression__C0.001__pca128__no_whiten__gold1p5__wetcost1p3,logistic_regression__C0.001__pca128__no_whiten,0.001,l2,128,False,1.5,1.3,0.5539408684544631,0.550531914893617,0.07527729999856092,0.6900800985828712,0.6459886706819772,0.6202427952010338,0.8470149253731343,0.38475499092558985,0.7281475541299118,0.5638297872340425,0.6840694261973417,0.3807073340331686,908,339,164,212,0.6149106592729513,0.6267936665017317,0.5727200468065049,0.8510158013544018,0.3310719131614654,0.6046511627906976,0.648936170212766,0.6840694261973417,0.3807073340331686,754,493,132,244
logistic_regression__C0.0003__pca64__no_whiten__gold1p5__wetcost1,logistic_regression__C0.0003__pca64__no_whiten,0.0003,l2,64,False,1.5,1.0,0.5385041773801782,0.550531914893617,0.03531910000128846,0.6925446703635243,0.6429483952976505,0.6197812330254658,0.8443830570902394,0.3854748603351955,0.7353648757016841,0.550531914893617,0.6820752785408384,0.3795314059682491,917,330,169,207,0.6475662353666051,0.6508311436810046,0.6005146565227121,0.8617363344051447,0.35797101449275365,0.644747393744988,0.6569148936170213,0.6820752785408384,0.3795314059682491,804,443,129,247
logistic_regression__C0.0003__pca64__no_whiten__gold1p5__wetcost1p15,logistic_regression__C0.0003__pca64__no_whiten,0.0003,l2,64,False,1.5,1.15,0.5419565255437251,0.550531914893617,0.03616200000033132,0.6919285274183611,0.6434762579126072,0.6197780984688045,0.8448753462603878,0.3851851851851852,0.7337610264635124,0.5531914893617021,0.6822203074613115,0.3793247207061741,915,332,168,208,0.6451016635859519,0.6520137692163319,0.5996231134257276,0.8634886240520043,0.35714285714285715,0.6391339214113874,0.6648936170212766,0.6822203074613115,0.3793247207061741,797,450,126,250
logistic_regression__C0.0003__pca64__no_whiten__gold1__wetcost1p15,logistic_regression__C0.0003__pca64__no_whiten,0.0003,l2,64,False,1.0,1.15,0.5414089911335512,0.550531914893617,0.03359230000023672,0.6913123844731978,0.644004120527564,0.6197717759957503,0.8453703703703703,0.3848987108655617,0.7321571772253408,0.5558510638297872,0.6818449384906755,0.3784304779978372,913,334,167,209,0.6463339494762785,0.6518868689109181,0.6002613999917615,0.8629989212513485,0.3577586206896552,0.6415396952686447,0.6622340425531915,0.6818449384906755,0.3784304779978372,800,447,127,249
logistic_regression__C0.0003__pca64__no_whiten__gold1__wetcost1p5,logistic_regression__C0.0003__pca64__no_whiten,0.0003,l2,64,False,1.0,1.5,0.547853626656067,0.550531914893617,0.03494020000016462,0.6906962415280345,0.6445319831425207,0.6197622843403363,0.8458681522748375,0.38461538461538464,0.7305533279871692,0.5585106382978723,0.6818428057124333,0.37793668199403885,911,336,166,210,0.6333949476278496,0.6453243102595164,0.5903693520082903,0.8614190687361419,0.34812760055478503,0.6230954290296712,0.6675531914893617,0.6818428057124333,0.37793668199403885,777,470,125,251
logistic_regression__C0.001__pca128__no_whiten__gold1__wetcost1p3,logistic_regression__C0.001__pca128__no_whiten,0.001,l2,128,False,1.0,1.3,0.5536526188183823,0.550531914893617,0.07975940000051196,0.6894639556377079,0.6455877083724342,0.6197338668888162,0.8468720821661998,0.38405797101449274,0.7273456295108259,0.5638297872340425,0.6827769625825385,0.3792881828149037,907,340,164,212,0.6149106592729513,0.6286513163507311,0.5734502393304215,0.8526077097505669,0.3319838056680162,0.603047313552526,0.6542553191489362,0.6827769625825385,0.3792881828149037,752,495,130,246
logistic_regression__C0.0003__pca64__no_whiten__gold1p5__wetcost1p3,logistic_regression__C0.0003__pca64__no_whiten,0.0003,l2,64,False,1.5,1.3,0.5451434793007801,0.550531914893617,0.038442299999587703,0.6913123844731978,0.6430752956030643,0.6192697171363113,0.844731977818854,0.3844731977818854,0.7329591018444266,0.5531914893617021,0.6822736269173677,0.3790648668876805,914,333,168,208,0.6395563770794824,0.6493339333549455,0.5954313749636212,0.8629385964912281,0.3530239099859353,0.6311146752205292,0.6675531914893617,0.6822736269173677,0.3790648668876805,787,460,125,251
logistic_regression__C0.0003__pca64__no_whiten__gold1p5__wetcost1p5,logistic_regression__C0.0003__pca64__no_whiten,0.0003,l2,64,False,1.5,1.5,0.5491796717802977,0.550531914893617,0.035375200000089535,0.6913123844731978,0.6430752956030643,0.6192697171363113,0.844731977818854,0.3844731977818854,0.7329591018444266,0.5531914893617021,0.6822075107918578,0.37870504655262954,914,333,168,208,0.6333949476278496,0.6462531351840162,0.5907339229082796,0.8622222222222222,0.34854771784232363,0.6222935044105854,0.6702127659574468,0.6822075107918578,0.37870504655262954,776,471,124,252
