candidate_key,representation_key,c_value,pca_components,input_dimension,threshold_oof,selected,elapsed_seconds,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,oof_0p5__accuracy,oof_0p5__balanced_accuracy,oof_0p5__macro_f1,oof_0p5__dry_precision,oof_0p5__wet_precision,oof_0p5__dry_recall,oof_0p5__wet_recall,oof_0p5__roc_auc,oof_0p5__average_precision_wet,oof_0p5__tn_dry_correct,oof_0p5__fp_dry_as_wet,oof_0p5__fn_wet_as_dry,oof_0p5__tp_wet_correct
s0_s1__log__peak_rms__C0.0003__pcanone,s0_s1__log__peak_rms,0.0003,,291,0.5584885663808177,False,0.7300858999951743,0.6906962415280345,0.6268843095770273,0.609797472040337,0.8340807174887892,0.37598425196850394,0.7457898957497995,0.5079787234042553,0.6696774386186423,0.3701734288063199,930,317,185,191,0.5767097966728281,0.6205105018000648,0.5481554424932071,0.8571428571428571,0.3146603098927294,0.5388933440256616,0.7021276595744681,0.6696774386186423,0.3701734288063199,672,575,112,264
s0_s1__log__peak_rms__C0.001__pcanone,s0_s1__log__peak_rms,0.001,,291,0.5905538900525661,False,0.9930631999741308,0.7252002464571781,0.630761700421437,0.6262809101535234,0.8307184145334434,0.41504854368932037,0.8067361668003208,0.45478723404255317,0.6749880564418433,0.3743589563911374,1006,241,205,171,0.589648798521257,0.6289307103004658,0.558824825883805,0.8608695652173913,0.32273838630806845,0.5557337610264635,0.7021276595744681,0.6749880564418433,0.3743589563911374,693,554,112,264
s0_s1__log__peak_rms__C0.003__pcanone,s0_s1__log__peak_rms,0.003,,291,0.6181012109146449,False,0.9341211999999359,0.7307455329636475,0.6111497380948319,0.6134646543422423,0.8188976377952756,0.41359773371104813,0.8340016038492382,0.3882978723404255,0.6708099438652768,0.37062204636862384,1040,207,230,146,0.6056685150955021,0.6337827808015835,0.5700733431565702,0.8600237247924081,0.33076923076923076,0.5813953488372093,0.6861702127659575,0.6708099438652768,0.37062204636862384,725,522,118,258
s0_s1__log__peak_rms_crest__C0.0003__pcanone,s0_s1__log__peak_rms_crest,0.0003,,294,0.5954019423481394,False,0.7557905000285245,0.7375231053604436,0.6053432493303077,0.6104361054766734,0.8150422102839601,0.421875,0.8516439454691259,0.35904255319148937,0.6693660529952737,0.3696517955803858,1062,185,241,135,0.5773259396179914,0.6209114641096077,0.54866371985627,0.8573248407643312,0.315035799522673,0.5396952686447474,0.7021276595744681,0.6693660529952737,0.3696517955803858,673,574,112,264
s0_s1__log__peak_rms_crest__C0.001__pcanone,s0_s1__log__peak_rms_crest,0.001,,294,0.5882955165520405,False,0.8427742999629118,0.7215033887861984,0.6302135764131789,0.6244717185119661,0.8309741881765196,0.4099526066350711,0.8003207698476343,0.4601063829787234,0.6749475336552406,0.37397111251254733,998,249,203,173,0.5908810844115835,0.6297326349195516,0.5598406775452056,0.8612143742255266,0.3235294117647059,0.5573376102646351,0.7021276595744681,0.6749475336552406,0.37397111251254733,695,552,112,264
s0_s1__log__peak_rms_crest__C0.003__pcanone,s0_s1__log__peak_rms_crest,0.003,,294,0.6121658051669595,False,0.9785483000450768,0.7239679605668515,0.6132409271613575,0.6130301314338509,0.8208835341365461,0.40476190476190477,0.8195669607056937,0.40691489361702127,0.671556416250064,0.37123539483249396,1022,225,223,153,0.6056685150955021,0.6319251309525841,0.5694046482012098,0.8583234946871311,0.32989690721649484,0.5829991980753809,0.6808510638297872,0.671556416250064,0.37123539483249396,727,520,120,256
s1_s2__raw__noamp__C0.0003__pcanone,s1_s2__raw__noamp,0.0003,,1929,0.5830197168026054,False,2.0621588999638334,0.7344423906346272,0.6256302359705848,0.6259794797816125,0.8264,0.4262734584450402,0.8283881315156375,0.4228723404255319,0.6845407701888788,0.37918877598376033,1033,214,217,159,0.6401725200246458,0.6432331211929908,0.5932973128836041,0.8576051779935275,0.3505747126436782,0.6375300721732157,0.648936170212766,0.6845407701888788,0.37918877598376033,795,452,132,244
s1_s2__raw__noamp__C0.001__pcanone,s1_s2__raw__noamp,0.001,,1929,0.58190708588805,False,2.924456199980341,0.7221195317313617,0.6250415891757239,0.6211094345677926,0.8278418451400329,0.4083129584352078,0.805934242181235,0.4441489361702128,0.6807060349093143,0.377399587425578,1005,242,209,167,0.6401725200246458,0.6339448719479943,0.589343213950248,0.8500527983104541,0.34615384615384615,0.6455493183640738,0.6223404255319149,0.6807060349093143,0.377399587425578,805,442,142,234
s1_s2__raw__noamp__C0.003__pcanone,s1_s2__raw__noamp,0.003,,1929,0.5991580873001072,False,3.0544257999863476,0.7196549599507086,0.6067188912965585,0.606619650559415,0.8178170144462279,0.3952254641909814,0.8171611868484362,0.3962765957446808,0.6659813339248238,0.3682175037205802,1019,228,227,149,0.6383240911891559,0.610450186831374,0.5774549125305533,0.8326612903225806,0.3328050713153724,0.6623897353648757,0.5585106382978723,0.6659813339248238,0.3682175037205802,826,421,166,210
s1_s2__raw__peak_rms__C0.0003__pcanone,s1_s2__raw__peak_rms,0.0003,,1935,0.5787066898144633,False,2.1703839999972843,0.7313616759088108,0.6264118991963692,0.6254668247448871,0.8272800645682001,0.421875,0.8219727345629511,0.4308510638297872,0.6842059240048455,0.3793806728026379,1025,222,214,162,0.6432532347504621,0.6470955825897047,0.5965884284748382,0.8599137931034483,0.3539568345323741,0.6399358460304732,0.6542553191489362,0.6842059240048455,0.3793806728026379,798,449,130,246
s1_s2__raw__peak_rms__C0.001__pcanone,s1_s2__raw__peak_rms,0.001,,1935,0.5814254919629664,False,2.5808805999695323,0.722735674676525,0.6254425514852668,0.6216210895406091,0.8279835390946502,0.40931372549019607,0.8067361668003208,0.4441489361702128,0.6802474875872306,0.3776521695068263,1006,241,209,167,0.6395563770794824,0.6344727345629511,0.5892481305469813,0.850635593220339,0.34609720176730485,0.6439454691259021,0.625,0.6802474875872306,0.3776521695068263,803,444,141,235
s1_s2__raw__peak_rms__C0.003__pcanone,s1_s2__raw__peak_rms,0.003,,1935,0.6108184910525452,False,2.922204700007569,0.7288971041281578,0.6071603763927041,0.6096681096681096,0.816967792615868,0.4085714285714286,0.8340016038492382,0.3803191489361702,0.6659770683683393,0.369306338050961,1040,207,233,143,0.640788662969809,0.6129828609940453,0.5798743897646973,0.8340040241448692,0.3354531001589825,0.6647955092221332,0.5611702127659575,0.6659770683683393,0.369306338050961,829,418,165,211
s1_s2__raw__peak_rms_crest__C0.0003__pcanone,s1_s2__raw__peak_rms_crest,0.0003,,1938,0.5792940112171908,False,1.9882092000334524,0.7319778188539742,0.6258840365814125,0.6252971462811536,0.8268921095008052,0.4225721784776903,0.8235765838011226,0.42819148936170215,0.6842101895613302,0.3794281692002444,1027,220,215,161,0.6426370918052988,0.6457657953556621,0.595699903793293,0.8589881593110872,0.3530259365994236,0.6399358460304732,0.651595744680851,0.6842101895613302,0.3794281692002444,798,449,131,245
s1_s2__raw__peak_rms_crest__C0.001__pcanone,s1_s2__raw__peak_rms_crest,0.001,,1938,0.5819228269349239,False,2.5874019999755546,0.7233518176216882,0.6258435137948097,0.6221332424868903,0.828125,0.4103194103194103,0.8075380914194066,0.4441489361702128,0.680192035352932,0.37777001045149294,1007,240,209,167,0.6395563770794824,0.6344727345629511,0.5892481305469813,0.850635593220339,0.34609720176730485,0.6439454691259021,0.625,0.680192035352932,0.37777001045149294,803,444,141,235
s1_s2__raw__peak_rms_crest__C0.003__pcanone,s1_s2__raw__peak_rms_crest,0.003,,1938,0.5980645779101185,False,3.079131899983622,0.7202711028958718,0.6099063283796003,0.6092897623633016,0.8195004029008863,0.39790575916230364,0.8155573376102646,0.40425531914893614,0.665846968895562,0.3693651022073925,1017,230,224,152,0.6395563770794824,0.6103232865259602,0.5779691687309894,0.8323293172690763,0.3333333333333333,0.6647955092221332,0.5558510638297872,0.665846968895562,0.3693651022073925,829,418,167,209
s1_s2__log__noamp__C0.0003__pcanone,s1_s2__log__noamp,0.0003,,1929,0.6016390178192081,False,1.884284999978263,0.7264325323475046,0.6269195004180246,0.6240389832630744,0.8282910874897792,0.415,0.8123496391339214,0.44148936170212766,0.6809790305243222,0.3734255502639424,1013,234,210,166,0.5890326555760936,0.6331738726134212,0.5598362205492792,0.8652392947103275,0.32448733413751507,0.5509222133119487,0.7154255319148937,0.6809790305243222,0.3734255502639424,687,560,107,269
s1_s2__log__noamp__C0.001__pcanone,s1_s2__log__noamp,0.001,,1929,0.5719631413213329,False,2.4472956000245176,0.6956253850893407,0.6486685065433637,0.6243407612871787,0.8476454293628809,0.3907407407407407,0.7361668003207699,0.5611702127659575,0.6848393591427937,0.37834282791141705,918,329,165,211,0.5988909426987061,0.6340163200191098,0.5661270697881458,0.8625304136253041,0.3283395755305868,0.5685645549318364,0.699468085106383,0.6848393591427937,0.37834282791141705,709,538,113,263
s1_s2__log__noamp__C0.003__pcanone,s1_s2__log__noamp,0.003,,1929,0.5992522369397892,False,2.9482053000247106,0.7054836722119532,0.6216462062140626,0.612510638807974,0.8283518360375747,0.38716814159292035,0.7778668805132317,0.4654255319148936,0.6788718456209797,0.3707403410420078,970,277,201,175,0.6204559457794209,0.6294735023631184,0.5768514505512365,0.8517279821627648,0.3347107438016529,0.6126704089815558,0.6462765957446809,0.6788718456209797,0.3707403410420078,764,483,133,243
s1_s2__log__peak_rms__C0.0003__pcanone,s1_s2__log__peak_rms,0.0003,,1935,0.6001907126297423,False,1.9030116999638267,0.7239679605668515,0.6271733010288523,0.6233027735870953,0.8288065843621399,0.4117647058823529,0.8075380914194066,0.44680851063829785,0.6809278438465083,0.3738942806835171,1007,240,208,168,0.5908810844115835,0.6343767595420499,0.5613670627232499,0.8657465495608532,0.32566585956416466,0.5533279871692061,0.7154255319148937,0.6809278438465083,0.3738942806835171,690,557,107,269
s1_s2__log__peak_rms__C0.001__pcanone,s1_s2__log__peak_rms,0.001,,1935,0.5768818087936001,False,2.7443286000052467,0.6980899568699939,0.6437705813100376,0.6228273695473189,0.8437783832879201,0.39080459770114945,0.7449879711307137,0.5425531914893617,0.6847455169001349,0.378909104169302,929,318,172,204,0.5958102279728897,0.6310826835468955,0.5632730076952106,0.8608058608058609,0.32587064676616917,0.5653568564554932,0.6968085106382979,0.6847455169001349,0.378909104169302,705,542,114,262
s1_s2__log__peak_rms__C0.003__pcanone,s1_s2__log__peak_rms,0.003,,1935,0.5818768209719318,False,3.2513872000272386,0.6974738139248305,0.629437245133,0.6142099221877476,0.8345132743362832,0.38336713995943206,0.756214915797915,0.5026595744680851,0.6797462847003021,0.372643685815299,943,304,187,189,0.6155268022181146,0.6244081540377757,0.5721079582903787,0.8488241881298992,0.33013698630136984,0.6078588612670409,0.6409574468085106,0.6797462847003021,0.372643685815299,758,489,135,241
