candidate_key,representation_key,c_value,pca_components,input_dimension,threshold_oof,selected,elapsed_seconds,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,oof_0p5__accuracy,oof_0p5__balanced_accuracy,oof_0p5__macro_f1,oof_0p5__dry_precision,oof_0p5__wet_precision,oof_0p5__dry_recall,oof_0p5__wet_recall,oof_0p5__roc_auc,oof_0p5__average_precision_wet,oof_0p5__tn_dry_correct,oof_0p5__fp_dry_as_wet,oof_0p5__fn_wet_as_dry,oof_0p5__tp_wet_correct
s1__log__peak_rms__C0.001__pcanone,s1__log__peak_rms,0.001,,288,0.5907499175300752,False,0.8301647999905981,0.7252002464571781,0.630761700421437,0.6262809101535234,0.8307184145334434,0.41504854368932037,0.8067361668003208,0.45478723404255317,0.6756321554710026,0.3757994265976878,1006,241,205,171,0.5908810844115835,0.6306614598440512,0.5601496762565263,0.8621118012422361,0.32396088019559904,0.5565356856455493,0.7047872340425532,0.6756321554710026,0.3757994265976878,694,553,111,265
s1__log__peak_rms__C0.001__pca32,s1__log__peak_rms,0.001,32.0,288,0.5828241078605272,False,0.8185488000162877,0.7196549599507086,0.6364412888805473,0.6278822852990663,0.8350253807106599,0.41043083900226757,0.7914995990376904,0.48138297872340424,0.674565766349878,0.37325827490562014,987,260,195,181,0.5908810844115835,0.6306614598440512,0.5601496762565263,0.8621118012422361,0.32396088019559904,0.5565356856455493,0.7047872340425532,0.674565766349878,0.37325827490562014,694,553,111,265
s1__log__peak_rms__C0.001__pca64,s1__log__peak_rms,0.001,64.0,288,0.5923489220027591,False,0.8119380999705754,0.7252002464571781,0.6289040505724377,0.6249844576335815,0.8296296296296296,0.41421568627450983,0.8083400160384924,0.449468085106383,0.675344230408299,0.3741296297651619,1008,239,207,169,0.589648798521257,0.6317171850739647,0.5597434017595307,0.8635794743429287,0.32402912621359226,0.5533279871692061,0.7101063829787234,0.675344230408299,0.3741296297651619,690,557,109,267
s1__log__peak_rms__C0.001__pca128,s1__log__peak_rms,0.001,128.0,288,0.5905119798237447,False,0.8351186999934725,0.7239679605668515,0.6308886007268508,0.6258921735694352,0.8309859154929577,0.41346153846153844,0.8043303929430633,0.4574468085106383,0.6761056322407821,0.37596807748018257,1003,244,204,172,0.5908810844115835,0.6306614598440512,0.5601496762565263,0.8621118012422361,0.32396088019559904,0.5565356856455493,0.7047872340425532,0.6761056322407821,0.37596807748018257,694,553,111,265
s1__log__peak_rms__C0.001__pca256,s1__log__peak_rms,0.001,256.0,288,0.590766951454128,False,0.8857679000357166,0.7252002464571781,0.630761700421437,0.6262809101535234,0.8307184145334434,0.41504854368932037,0.8067361668003208,0.45478723404255317,0.6756193588015492,0.37577086154153544,1006,241,205,171,0.5908810844115835,0.6306614598440512,0.5601496762565263,0.8621118012422361,0.32396088019559904,0.5565356856455493,0.7047872340425532,0.6756193588015492,0.37577086154153544,694,553,111,265
s1__log__peak_rms__C0.003__pcanone,s1__log__peak_rms,0.003,,288,0.6162517262410998,False,0.8943893000250682,0.7307455329636475,0.6167226876418297,0.6179026562260095,0.821939586645469,0.41643835616438357,0.8291900561347233,0.40425531914893614,0.6720234946851167,0.3735266377590123,1034,213,224,152,0.6032039433148491,0.6321789315634118,0.5680513769960658,0.8593563766388558,0.32908163265306123,0.5781876503608661,0.6861702127659575,0.6720234946851167,0.3735266377590123,721,526,118,258
s1__log__peak_rms__C0.003__pca32,s1__log__peak_rms,0.003,32.0,288,0.5882615501669048,False,0.7774671000079252,0.7128773875539125,0.6311018785510758,0.6216366838092571,0.8329070758738278,0.4,0.7834803528468324,0.4787234042553192,0.6728083570782645,0.3719110981647583,977,270,196,180,0.6038200862600123,0.6316510689484549,0.5682248001942926,0.8586698337292161,0.3290653008962868,0.5797914995990376,0.6835106382978723,0.6728083570782645,0.3719110981647583,723,524,119,257
s1__log__peak_rms__C0.003__pca64,s1__log__peak_rms,0.003,64.0,288,0.6009401778129453,False,0.7949770000413992,0.7208872458410351,0.6233108396321384,0.6194292103308427,0.8270181219110379,0.4058679706601467,0.8051323175621492,0.44148936170212766,0.6725737514716169,0.37041895201136044,1004,243,210,166,0.5995070856438693,0.6269866829326554,0.564027010943234,0.8557806912991657,0.3252551020408163,0.5757818765036087,0.6781914893617021,0.6725737514716169,0.37041895201136044,718,529,121,255
s1__log__peak_rms__C0.003__pca128,s1__log__peak_rms,0.003,128.0,288,0.6130327373294833,False,0.8416174000012688,0.7264325323475046,0.6167024262485283,0.6164852195460486,0.8224899598393575,0.41005291005291006,0.8211708099438653,0.4122340425531915,0.6735079083417224,0.37418785926066445,1024,223,221,155,0.6025878003696857,0.6308491443293691,0.5672148511286228,0.8583333333333333,0.3282247765006386,0.5781876503608661,0.6835106382978723,0.6735079083417224,0.37418785926066445,721,526,119,257
s1__log__peak_rms__C0.003__pca256,s1__log__peak_rms,0.003,256.0,288,0.6141007369871367,False,0.8019872000440955,0.729513247073321,0.6177784128717433,0.6183228311404884,0.8226837060702875,0.41509433962264153,0.8259823576583801,0.4095744680851064,0.6720512208022659,0.3735087221469644,1030,217,222,154,0.6032039433148491,0.6321789315634118,0.5680513769960658,0.8593563766388558,0.32908163265306123,0.5781876503608661,0.6861702127659575,0.6720512208022659,0.3735087221469644,721,526,118,258
s1__log__peak_rms__C0.01__pcanone,s1__log__peak_rms,0.01,,288,0.5810927459146307,False,0.9463277000468224,0.6956253850893407,0.6096578597143784,0.6008051988400994,0.8226221079691517,0.3706140350877193,0.7698476343223737,0.449468085106383,0.6606045999761129,0.3631326327981963,960,287,207,169,0.6204559457794209,0.627615852514119,0.5761007825299427,0.8501664816870145,0.3337950138504155,0.6142742582197274,0.6409574468085106,0.6606045999761129,0.3631326327981963,766,481,135,241
s1__log__peak_rms__C0.01__pca32,s1__log__peak_rms,0.01,32.0,288,0.5878463930736698,False,0.7670146999880672,0.7110289587184226,0.6317566414714464,0.6213054637520155,0.8336192109777015,0.3982494529540481,0.7794707297514034,0.48404255319148937,0.6672823286525961,0.3644719128573572,972,275,194,182,0.6192236598890942,0.6333157023665308,0.5776868509604859,0.8553672316384181,0.33604336043360433,0.6070569366479551,0.6595744680851063,0.6672823286525961,0.3644719128573572,757,490,128,248
s1__log__peak_rms__C0.01__pca64,s1__log__peak_rms,0.01,64.0,288,0.5785817207487362,False,0.7813256000517868,0.696241528034504,0.6165605964954188,0.6056184676503134,0.8266897746967071,0.3752665245202559,0.7650360866078588,0.46808510638297873,0.6630572949546998,0.3585544340035145,954,293,200,176,0.6161429451632778,0.6322397157433159,0.5755348690769796,0.8553530751708428,0.33422818791946307,0.6022453889334403,0.6622340425531915,0.6630572949546998,0.3585544340035145,751,496,127,249
s1__log__peak_rms__C0.01__pca128,s1__log__peak_rms,0.01,128.0,288,0.5855440083358845,False,0.7793338000192307,0.6993222427603204,0.6148501083451346,0.6056537186922439,0.8251928020565553,0.37719298245614036,0.7722534081796311,0.4574468085106383,0.6647101980924431,0.3654828908647052,963,284,204,172,0.6223043746149106,0.6306763892917471,0.5783527642735722,0.8522222222222222,0.3360995850622407,0.6150761828388132,0.6462765957446809,0.6647101980924431,0.3654828908647052,767,480,133,243
s1__log__peak_rms__C0.01__pca256,s1__log__peak_rms,0.01,256.0,288,0.581109695039945,False,0.8688630000106059,0.6956253850893407,0.6096578597143784,0.6008051988400994,0.8226221079691517,0.3706140350877193,0.7698476343223737,0.449468085106383,0.6607027077752564,0.3630511538227207,960,287,207,169,0.6204559457794209,0.627615852514119,0.5761007825299427,0.8501664816870145,0.3337950138504155,0.6142742582197274,0.6409574468085106,0.6607027077752564,0.3630511538227207,766,481,135,241
s1__log__peak_rms__C0.03__pcanone,s1__log__peak_rms,0.03,,288,0.5887615135690736,False,0.9153420000220649,0.6913123844731978,0.5947763995290826,0.5889226093247368,0.8145025295109612,0.35697940503432496,0.7746591820368885,0.4148936170212766,0.6456367622720061,0.34436539854548864,966,281,220,156,0.6290819470117067,0.6146528263577267,0.5749919091317193,0.837696335078534,0.33083832335329344,0.6415396952686447,0.5877659574468085,0.6456367622720061,0.34436539854548864,800,447,155,221
