candidate_key,representation_key,c_value,pca_components,input_dimension,threshold_oof,selected,elapsed_seconds,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,oof_0p5__accuracy,oof_0p5__balanced_accuracy,oof_0p5__macro_f1,oof_0p5__dry_precision,oof_0p5__wet_precision,oof_0p5__dry_recall,oof_0p5__wet_recall,oof_0p5__roc_auc,oof_0p5__average_precision_wet,oof_0p5__tn_dry_correct,oof_0p5__fp_dry_as_wet,oof_0p5__fn_wet_as_dry,oof_0p5__tp_wet_correct,selected_for_phase_b
s0_s1__log__peak_rms_crest__C0.001__pcanone,s0_s1__log__peak_rms_crest,0.001,,294,0.5882955165520405,False,0.8427742999629118,0.7215033887861984,0.6302135764131789,0.6244717185119661,0.8309741881765196,0.4099526066350711,0.8003207698476343,0.4601063829787234,0.6749475336552406,0.37397111251254733,998,249,203,173,0.5908810844115835,0.6297326349195516,0.5598406775452056,0.8612143742255266,0.3235294117647059,0.5573376102646351,0.7021276595744681,0.6749475336552406,0.37397111251254733,695,552,112,264,False
s1_s2__log__noamp__C0.001__pcanone,s1_s2__log__noamp,0.001,,1929,0.5719631413213329,False,2.4472956000245176,0.6956253850893407,0.6486685065433637,0.6243407612871787,0.8476454293628809,0.3907407407407407,0.7361668003207699,0.5611702127659575,0.6848393591427937,0.37834282791141705,918,329,165,211,0.5988909426987061,0.6340163200191098,0.5661270697881458,0.8625304136253041,0.3283395755305868,0.5685645549318364,0.699468085106383,0.6848393591427937,0.37834282791141705,709,538,113,263,False
s0_s1_s2__log__peak_rms_crest__C0.0003__pcanone,s0_s1_s2__log__peak_rms_crest,0.0003,,1941,0.6024875846208873,False,2.868331699981354,0.7282809611829945,0.626264737497654,0.6242450046277509,0.8276422764227642,0.4173027989821883,0.8163592622293504,0.43617021276595747,0.6806804415704073,0.3736719022271945,1018,229,212,164,0.5890326555760936,0.6322450476889214,0.5595360595085951,0.864321608040201,0.32406287787182586,0.5517241379310345,0.7127659574468085,0.6806804415704073,0.3736719022271945,688,559,108,268,False
s0_s1_s2__log__peak_rms__C0.0003__pcanone,s0_s1_s2__log__peak_rms,0.0003,,1938,0.6018803594823954,False,2.9463359999936074,0.7270486752926679,0.6263916378030678,0.6238867478993048,0.8278955954323002,0.4156171284634761,0.813953488372093,0.43882978723404253,0.6807508232524015,0.3738404269745901,1015,232,211,165,0.5890326555760936,0.6322450476889214,0.5595360595085951,0.864321608040201,0.32406287787182586,0.5517241379310345,0.7127659574468085,0.6807508232524015,0.3738404269745901,688,559,108,268,False
s1__log__noamp__C0.001__pcanone,s1__log__noamp,0.001,,282,0.5980559309455246,False,0.8921031000209041,0.7301293900184843,0.6246811496527838,0.6237487826565609,0.8264729620661824,0.4192708333333333,0.8211708099438653,0.42819148936170215,0.6759691344332782,0.37472120909688345,1024,223,215,161,0.59211337030191,0.6333210343121364,0.5617807325230443,0.8642590286425903,0.325609756097561,0.5565356856455493,0.7101063829787234,0.6759691344332782,0.37472120909688345,694,553,109,267,False
s1_s2__log__peak_rms_crest__C0.0003__pcanone,s1_s2__log__peak_rms_crest,0.0003,,1938,0.5994343407218394,False,2.449361399980262,0.7233518176216882,0.627701163643809,0.6234422418385797,0.8292079207920792,0.41119221411192214,0.805934242181235,0.449468085106383,0.680934242181235,0.3739053795262923,1005,242,207,169,0.5908810844115835,0.6343767595420499,0.5613670627232499,0.8657465495608532,0.32566585956416466,0.5533279871692061,0.7154255319148937,0.680934242181235,0.3739053795262923,690,557,107,269,False
s1_s2__log__peak_rms__C0.0003__pcanone,s1_s2__log__peak_rms,0.0003,,1935,0.6001907126297423,False,1.9030116999638267,0.7239679605668515,0.6271733010288523,0.6233027735870953,0.8288065843621399,0.4117647058823529,0.8075380914194066,0.44680851063829785,0.6809278438465083,0.3738942806835171,1007,240,208,168,0.5908810844115835,0.6343767595420499,0.5613670627232499,0.8657465495608532,0.32566585956416466,0.5533279871692061,0.7154255319148937,0.6809278438465083,0.3738942806835171,690,557,107,269,False
s0_s1__log__noamp__C0.001__pcanone,s0_s1__log__noamp,0.001,,285,0.5865467166418165,False,0.772113699989859,0.718422674060382,0.629137589789964,0.6225398917560006,0.830820770519263,0.40559440559440557,0.7955092221331195,0.4627659574468085,0.6753250354041188,0.37326304978029234,992,255,202,174,0.59211337030191,0.6323922093876367,0.5614745266292476,0.8633540372670807,0.3251833740831296,0.5573376102646351,0.7074468085106383,0.6753250354041188,0.37326304978029234,695,552,110,266,False
s1__raw__peak_rms_crest__C0.003__pcanone,s1__raw__peak_rms_crest,0.003,,291,0.5916283653434253,False,0.9452806999906898,0.7412199630314233,0.6133219727345629,0.6183075310433801,0.8188126445643793,0.4325153374233129,0.8516439454691259,0.375,0.666683017966524,0.361015269398983,1062,185,235,141,0.6611213801601972,0.6420046409254552,0.6038723019028684,0.850956696878147,0.3619047619047619,0.677626303127506,0.6063829787234043,0.666683017966524,0.361015269398983,845,402,148,228,False
s0_s1__raw__peak_rms__C0.001__pcanone,s0_s1__raw__peak_rms,0.001,,291,0.5727868941013061,False,0.9076665999600664,0.729513247073321,0.6168495879472435,0.6176042334743955,0.8221690590111643,0.4146341463414634,0.8267842822774659,0.40691489361702127,0.6679754815813271,0.3634405277203225,1031,216,223,153,0.6414048059149723,0.6291738470200823,0.5878597009298818,0.8459937565036421,0.34441087613293053,0.6519647153167603,0.6063829787234043,0.6679754815813271,0.3634405277203225,813,434,148,228,False
s1__raw__peak_rms__C0.001__pcanone,s1__raw__peak_rms,0.001,,288,0.5638361532567725,False,1.0715463000233285,0.7221195317313617,0.6185398147042264,0.6164115866839602,0.8241042345276873,0.4050632911392405,0.8115477145148356,0.425531914893617,0.668402037229777,0.36384460266328456,1012,235,216,160,0.640788662969809,0.629701709635039,0.5877812412188699,0.8465553235908142,0.3443609022556391,0.6503608660785886,0.6090425531914894,0.668402037229777,0.36384460266328456,811,436,147,229,False
s0_s1__raw__peak_rms_crest__C0.001__pcanone,s0_s1__raw__peak_rms_crest,0.001,,294,0.5606215561300474,False,0.8503310999949463,0.7202711028958718,0.6191945776245968,0.6162489115172929,0.8247338247338247,0.40298507462686567,0.8075380914194066,0.4308510638297872,0.6678347182173386,0.3632410796570993,1007,240,214,162,0.640788662969809,0.6287728847105394,0.5873620246716961,0.8458333333333333,0.3438914027149321,0.6511627906976745,0.6063829787234043,0.6678347182173386,0.3632410796570993,812,435,148,228,False
s1__raw__noamp__C0.001__pcanone,s1__raw__noamp,0.001,,282,0.564813698121671,False,1.166611600026954,0.722735674676525,0.6180119520892695,0.6162322185230025,0.8237205523964257,0.40561224489795916,0.8131515637530072,0.4228723404255319,0.6696219863843438,0.363439808313187,1014,233,217,159,0.6451016635859519,0.6325084458018393,0.5912711043333182,0.8476683937823835,0.34802431610942247,0.6559743384121892,0.6090425531914894,0.6696219863843438,0.363439808313187,818,429,147,229,False
s0_s1__raw__noamp__C0.001__pcanone,s0_s1__raw__noamp,0.001,,285,0.5650236113557678,False,0.8756248999852687,0.7215033887861984,0.6153523776211844,0.6138318032510739,0.8223844282238443,0.4025641025641026,0.8131515637530072,0.4175531914893617,0.6690354723677251,0.36278094713567827,1014,233,219,157,0.6463339494762785,0.6333103704209251,0.592269595176572,0.8479834539813857,0.3490853658536585,0.6575781876503609,0.6090425531914894,0.6690354723677251,0.36278094713567827,820,427,147,229,False
