candidate_key,gold_multiplier,C,pca_components,output_dimension,threshold_oof,native_threshold,elapsed_fit_seconds,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,native__accuracy,native__balanced_accuracy,native__macro_f1,native__dry_precision,native__wet_precision,native__dry_recall,native__wet_recall,native__roc_auc,native__average_precision_wet,native__tn_dry_correct,native__fp_dry_as_wet,native__fn_wet_as_dry,native__tp_wet_correct
logistic_regression__C0.001__pca64__gold2,2.0,0.001,64.0,64,0.5446093708903842,0.5,0.04558070000030057,0.7005545286506469,0.6463032554727091,0.6253903875379939,0.8449682683590208,0.3942307692307692,0.7473937449879712,0.5452127659574468,0.6841355423228515,0.3830932475990008,932,315,171,205,0.6506469500924215,0.6481918306062209,0.6010997227935646,0.8586497890295358,0.3585185185185185,0.652766639935846,0.6436170212765957,0.6841355423228515,0.3830932475990008,814,433,134,242
logistic_regression__C0.001__pca64__gold1,1.0,0.001,64.0,64,0.5823146465695275,0.5,0.04790430000002743,0.7264325323475046,0.6287771502670239,0.6253602844843721,0.8293683347005743,0.4158415841584158,0.8107457898957497,0.44680851063829785,0.68323337712638,0.3810413264831916,1011,236,208,168,0.6487985212569316,0.6442024689040933,0.5983901048142308,0.8559411146161935,0.3556547619047619,0.652766639935846,0.6356382978723404,0.68323337712638,0.3810413264831916,814,433,137,239
logistic_regression__C0.001__pcanone__gold1p5,1.5,0.001,,1932,0.5640195555264522,0.5,1.6665474999999788,0.7122612446087492,0.6362738657885307,0.6246837665074008,0.8362068965517241,0.4017278617710583,0.7778668805132317,0.4946808510638298,0.6825402241976488,0.37824051538795683,970,277,190,186,0.6377079482439926,0.6323410227098227,0.5873443337484433,0.8494167550371156,0.34411764705882353,0.6423416198877305,0.6223404255319149,0.6825402241976488,0.37824051538795683,801,446,142,234
logistic_regression__C0.001__pca256__gold1p5,1.5,0.001,256.0,256,0.5757632259295222,0.5,0.167014200000267,0.7196549599507086,0.6308683393335495,0.6241917959496286,0.8316582914572864,0.40792540792540793,0.7963111467522053,0.4654255319148936,0.6828324148168371,0.37975511721633015,993,254,201,175,0.6333949476278496,0.6267478117695235,0.5826362395965378,0.8460721868365181,0.3392070484581498,0.6391339214113874,0.6143617021276596,0.6828324148168371,0.37975511721633015,797,450,145,231
logistic_regression__C0.001__pca32__gold2,2.0,0.001,32.0,32,0.5343933132699583,0.5,0.026698400000441325,0.6913123844731978,0.6523635448480609,0.6241688941190173,0.8512241054613936,0.38859180035650626,0.7249398556535686,0.5797872340425532,0.6822629630261563,0.3790939351388438,904,343,158,218,0.6555760936537277,0.6579013035540617,0.6078885007301926,0.8651804670912951,0.3656387665198238,0.6535685645549318,0.6622340425531915,0.6822629630261563,0.3790939351388438,815,432,127,249
logistic_regression__C0.001__pca32__gold1,1.0,0.001,32.0,32,0.53876837118908,0.5,0.03054619999966235,0.696241528034504,0.6472118190039072,0.6238507699142294,0.8465073529411765,0.39065420560747666,0.7385725741780272,0.5558510638297872,0.6812306983569075,0.3779480859058305,921,326,167,209,0.6531115218730745,0.6535109795423911,0.6046952093982059,0.8622881355932204,0.36229749631811486,0.652766639935846,0.6542553191489362,0.6812306983569075,0.3779480859058305,814,433,130,246
logistic_regression__C0.001__pcanone__gold1,1.0,0.001,,1932,0.5786526709043645,0.5,1.7090023999999175,0.7221195317313617,0.6278280639492229,0.6230644650484962,0.8294701986754967,0.40963855421686746,0.8035284683239775,0.4521276595744681,0.6812328311351499,0.37722199779042037,1002,245,206,170,0.640788662969809,0.6324881844085379,0.5890252276692584,0.8487394957983193,0.34575260804769004,0.6479550922213312,0.6170212765957447,0.6812328311351499,0.37722199779042037,808,439,144,232
logistic_regression__C0.001__pca32__gold1p5,1.5,0.001,32.0,32,0.5452025699437855,0.5,0.029076500000428496,0.6980899568699939,0.6437705813100376,0.6228273695473189,0.8437783832879201,0.39080459770114945,0.7449879711307137,0.5425531914893617,0.6817020423484448,0.37834109186704473,929,318,172,204,0.6549599507085644,0.6575003412445188,0.6073789669031632,0.8650371944739639,0.3651026392961877,0.652766639935846,0.6622340425531915,0.6817020423484448,0.37834109186704473,814,433,127,249
logistic_regression__C0.001__pca32__gold3,3.0,0.001,32.0,32,0.5483888914777015,0.5,0.02716329999975642,0.6993222427603204,0.6427148560801242,0.6228040431133344,0.8428184281842819,0.39147286821705424,0.748195669607057,0.5372340425531915,0.6822053780136157,0.378606750092221,933,314,174,202,0.6555760936537277,0.6579013035540617,0.6078885007301926,0.8651804670912951,0.3656387665198238,0.6535685645549318,0.6622340425531915,0.6822053780136157,0.378606750092221,815,432,127,249
logistic_regression__C0.01__pca32__gold2,2.0,0.01,32.0,32,0.5527596036432001,0.5,0.02966669999932492,0.7110289587184226,0.6317566414714464,0.6213054637520155,0.8336192109777015,0.3982494529540481,0.7794707297514034,0.48404255319148937,0.6808595949427562,0.37878246129030557,972,275,194,182,0.6605052372150338,0.6406748536914126,0.6029344575649197,0.8501006036217303,0.36089030206677264,0.677626303127506,0.6037234042553191,0.6808595949427562,0.37878246129030557,845,402,149,227
