candidate_key,gold_multiplier,C,pca_components,dataset,subgroup,recording_count,dry_count,wet_count,threshold,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
logistic_regression__C10__pca128__gold2,2.0,10.0,128.0,train_oof,weak_all,1561,1191,370,0.6679142388314501,0.7270980140935298,0.5920008169378447,0.5969664572060278,0.8042959427207638,0.40789473684210525,0.8488664987405542,0.33513513513513515,0.6400163387568929,0.36758019309338213,1011,180,246,124
logistic_regression__C10__pca128__gold2,2.0,10.0,128.0,train_oof,gold_all,62,56,6,0.6679142388314501,0.8064516129032258,0.6696428571428572,0.610062893081761,0.94,0.25,0.8392857142857143,0.5,0.7440476190476191,0.3767316017316017,47,9,3,3
logistic_regression__C10__pca128__gold2,2.0,10.0,128.0,train_oof,gold_3_of_4,31,28,3,0.6679142388314501,0.8064516129032258,0.5952380952380952,0.5694444444444444,0.9230769230769231,0.2,0.8571428571428571,0.3333333333333333,0.7976190476190476,0.4843304843304843,24,4,2,1
logistic_regression__C10__pca128__gold2,2.0,10.0,128.0,train_oof,gold_4_of_4,31,28,3,0.6679142388314501,0.8064516129032258,0.7440476190476191,0.6423076923076922,0.9583333333333334,0.2857142857142857,0.8214285714285714,0.6666666666666666,0.75,0.48120300751879697,23,5,1,2
logistic_regression__C10__pca256__gold2,2.0,10.0,256.0,train_oof,all,1623,1247,376,0.6089242187158045,0.6993222427603204,0.6037042092511389,0.5979377675257271,0.818639798488665,0.37037037037037035,0.7818765036086608,0.425531914893617,0.6398739954614479,0.3595732080038348,975,272,216,160
logistic_regression__C10__pca256__gold2,2.0,10.0,256.0,train_oof,weak_all,1561,1191,370,0.6089242187158045,0.6969891095451634,0.6039417251004153,0.5988818609067998,0.8143607705779334,0.37708830548926014,0.7808564231738035,0.42702702702702705,0.6376767195406995,0.3648046632011317,930,261,212,158
logistic_regression__C10__pca256__gold2,2.0,10.0,256.0,train_oof,gold_all,62,56,6,0.6089242187158045,0.7580645161290323,0.5684523809523809,0.5338345864661653,0.9183673469387755,0.15384615384615385,0.8035714285714286,0.3333333333333333,0.7380952380952381,0.2713891409558378,45,11,4,2
logistic_regression__C10__pca256__gold2,2.0,10.0,256.0,train_oof,gold_3_of_4,31,28,3,0.6089242187158045,0.7419354838709677,0.5595238095238095,0.5230769230769231,0.9166666666666666,0.14285714285714285,0.7857142857142857,0.3333333333333333,0.6666666666666666,0.2787878787878788,22,6,2,1
logistic_regression__C10__pca256__gold2,2.0,10.0,256.0,train_oof,gold_4_of_4,31,28,3,0.6089242187158045,0.7741935483870968,0.5773809523809523,0.5450733752620545,0.92,0.16666666666666666,0.8214285714285714,0.3333333333333333,0.8095238095238095,0.4935897435897436,23,5,2,1
logistic_regression__C0.001__pcanone__gold3,3.0,0.001,,train_oof,all,1623,1247,376,0.5783991078892589,0.7258163894023414,0.6385932621269771,0.6318375269978678,0.8352842809364549,0.41920374707259955,0.8011226944667201,0.47606382978723405,0.6844426623897353,0.3801477946374241,999,248,197,179
logistic_regression__C0.001__pcanone__gold3,3.0,0.001,,train_oof,weak_all,1561,1191,370,0.5783991078892589,0.7219730941704036,0.6361506342614655,0.6303999144568007,0.8299912816041848,0.4227053140096618,0.799328295549958,0.47297297297297297,0.6802459890621101,0.3807090676809606,952,239,195,175
