candidate_key,representation_key,c_value,pca_components,input_dimension,threshold_oof,selected,elapsed_seconds,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,oof_0p5__accuracy,oof_0p5__balanced_accuracy,oof_0p5__macro_f1,oof_0p5__dry_precision,oof_0p5__wet_precision,oof_0p5__dry_recall,oof_0p5__wet_recall,oof_0p5__roc_auc,oof_0p5__average_precision_wet,oof_0p5__tn_dry_correct,oof_0p5__fp_dry_as_wet,oof_0p5__fn_wet_as_dry,oof_0p5__tp_wet_correct,selected_for_phase_b
s1_s2__log__peak_rms__C0.001__pcanone,s1_s2__log__peak_rms,0.001,,1935,0.5768818087936001,False,2.5571378000313416,0.6980899568699939,0.6437705813100376,0.6228273695473189,0.8437783832879201,0.39080459770114945,0.7449879711307137,0.5425531914893617,0.6847455169001349,0.378909104169302,929,318,172,204,0.5958102279728897,0.6310826835468955,0.5632730076952106,0.8608058608058609,0.32587064676616917,0.5653568564554932,0.6968085106382979,0.6847455169001349,0.378909104169302,705,542,114,262,False
s0_s1__log__noamp__C0.001__pcanone,s0_s1__log__noamp,0.001,,285,0.5865467166418165,False,0.8337622000253759,0.718422674060382,0.629137589789964,0.6225398917560006,0.830820770519263,0.40559440559440557,0.7955092221331195,0.4627659574468085,0.6753250354041188,0.37326304978029234,992,255,202,174,0.59211337030191,0.6323922093876367,0.5614745266292476,0.8633540372670807,0.3251833740831296,0.5573376102646351,0.7074468085106383,0.6753250354041188,0.37326304978029234,695,552,110,266,False
s1_s2__raw__peak_rms_crest__C0.001__pcanone,s1_s2__raw__peak_rms_crest,0.001,,1938,0.5819228269349239,False,2.6048823000164703,0.7233518176216882,0.6258435137948097,0.6221332424868903,0.828125,0.4103194103194103,0.8075380914194066,0.4441489361702128,0.680192035352932,0.37777001045149294,1007,240,209,167,0.6395563770794824,0.6344727345629511,0.5892481305469813,0.850635593220339,0.34609720176730485,0.6439454691259021,0.625,0.680192035352932,0.37777001045149294,803,444,141,235,False
s0_s1_s2__raw__peak_rms__C0.001__pcanone,s0_s1_s2__raw__peak_rms,0.001,,1938,0.581808023265715,False,2.645046999969054,0.7233518176216882,0.6258435137948097,0.6221332424868903,0.828125,0.4103194103194103,0.8075380914194066,0.4441489361702128,0.6799872886416762,0.37724847270535555,1007,240,209,167,0.6358595194085028,0.6302093108566944,0.5854420463891661,0.8481953290870489,0.342143906020558,0.640737770649559,0.6196808510638298,0.6799872886416762,0.37724847270535555,799,448,143,233,False
s0_s1_s2__raw__peak_rms_crest__C0.001__pcanone,s0_s1_s2__raw__peak_rms_crest,0.001,,1941,0.5817852785241204,False,2.762353099999018,0.7233518176216882,0.6258435137948097,0.6221332424868903,0.828125,0.4103194103194103,0.8075380914194066,0.4441489361702128,0.6799361019638621,0.37713227435379104,1007,240,209,167,0.6346272335181762,0.6294073862376086,0.5844450402908767,0.847872340425532,0.3411420204978038,0.6391339214113874,0.6196808510638298,0.6799361019638621,0.37713227435379104,797,450,143,233,False
s0_s1_s2__raw__noamp__C0.001__pcanone,s0_s1_s2__raw__noamp,0.001,,1932,0.582040922568421,False,2.407100000011269,0.7221195317313617,0.6259704141002236,0.6217649244302883,0.8283828382838284,0.40875912408759124,0.8051323175621492,0.44680851063829785,0.6803626576123121,0.3769406488647836,1004,243,208,168,0.6377079482439926,0.6314121977853231,0.5869385310045845,0.8486772486772487,0.34365781710914456,0.6431435445068163,0.6196808510638298,0.6803626576123121,0.3769406488647836,802,445,143,233,False
s1_s2__raw__peak_rms__C0.001__pcanone,s1_s2__raw__peak_rms,0.001,,1935,0.5814254919629664,False,2.5390142000396736,0.722735674676525,0.6254425514852668,0.6216210895406091,0.8279835390946502,0.40931372549019607,0.8067361668003208,0.4441489361702128,0.6802474875872306,0.3776521695068263,1006,241,209,167,0.6395563770794824,0.6344727345629511,0.5892481305469813,0.850635593220339,0.34609720176730485,0.6439454691259021,0.625,0.6802474875872306,0.3776521695068263,803,444,141,235,False
s1_s2__raw__noamp__C0.001__pcanone,s1_s2__raw__noamp,0.001,,1929,0.58190708588805,False,2.480085199989844,0.7221195317313617,0.6250415891757239,0.6211094345677926,0.8278418451400329,0.4083129584352078,0.805934242181235,0.4441489361702128,0.6807060349093143,0.377399587425578,1005,242,209,167,0.6401725200246458,0.6339448719479943,0.589343213950248,0.8500527983104541,0.34615384615384615,0.6455493183640738,0.6223404255319149,0.6807060349093143,0.377399587425578,805,442,142,234,False
s0_s1__raw__peak_rms__C0.001__pcanone,s0_s1__raw__peak_rms,0.001,,291,0.5727868941013061,False,0.8028776000137441,0.729513247073321,0.6168495879472435,0.6176042334743955,0.8221690590111643,0.4146341463414634,0.8267842822774659,0.40691489361702127,0.6679754815813271,0.3634405277203225,1031,216,223,153,0.6414048059149723,0.6291738470200823,0.5878597009298818,0.8459937565036421,0.34441087613293053,0.6519647153167603,0.6063829787234043,0.6679754815813271,0.3634405277203225,813,434,148,228,False
s1__raw__peak_rms_crest__C0.001__pcanone,s1__raw__peak_rms_crest,0.001,,291,0.5607529026196226,False,0.7721853000111878,0.7208872458410351,0.6195955399341397,0.6167566629292024,0.8248772504091653,0.40399002493765584,0.8083400160384924,0.4308510638297872,0.6684084355645037,0.36381788663829323,1008,239,214,162,0.6401725200246458,0.6293007473254961,0.5872832853196596,0.8463949843260188,0.34384384384384387,0.6495589414595028,0.6090425531914894,0.6684084355645037,0.36381788663829323,810,437,147,229,False
s1__raw__peak_rms__C0.001__pcanone,s1__raw__peak_rms,0.001,,288,0.5638361532567725,False,0.8196025000070222,0.7221195317313617,0.6185398147042264,0.6164115866839602,0.8241042345276873,0.4050632911392405,0.8115477145148356,0.425531914893617,0.668402037229777,0.36384460266328456,1012,235,216,160,0.640788662969809,0.629701709635039,0.5877812412188699,0.8465553235908142,0.3443609022556391,0.6503608660785886,0.6090425531914894,0.668402037229777,0.36384460266328456,811,436,147,229,False
s0_s1__raw__peak_rms_crest__C0.001__pcanone,s0_s1__raw__peak_rms_crest,0.001,,294,0.5606215561300474,False,0.8860716999624856,0.7202711028958718,0.6191945776245968,0.6162489115172929,0.8247338247338247,0.40298507462686567,0.8075380914194066,0.4308510638297872,0.6678347182173386,0.3632410796570993,1007,240,214,162,0.640788662969809,0.6287728847105394,0.5873620246716961,0.8458333333333333,0.3438914027149321,0.6511627906976745,0.6063829787234043,0.6678347182173386,0.3632410796570993,812,435,148,228,False
s1__raw__noamp__C0.001__pcanone,s1__raw__noamp,0.001,,282,0.564813698121671,False,1.3214449000079185,0.722735674676525,0.6180119520892695,0.6162322185230025,0.8237205523964257,0.40561224489795916,0.8131515637530072,0.4228723404255319,0.6696219863843438,0.363439808313187,1014,233,217,159,0.6451016635859519,0.6325084458018393,0.5912711043333182,0.8476683937823835,0.34802431610942247,0.6559743384121892,0.6090425531914894,0.6696219863843438,0.363439808313187,818,429,147,229,False
s0_s1__raw__noamp__C0.001__pcanone,s0_s1__raw__noamp,0.001,,285,0.5650236113557678,False,0.7872589000035077,0.7215033887861984,0.6153523776211844,0.6138318032510739,0.8223844282238443,0.4025641025641026,0.8131515637530072,0.4175531914893617,0.6690354723677251,0.36278094713567827,1014,233,219,157,0.6463339494762785,0.6333103704209251,0.592269595176572,0.8479834539813857,0.3490853658536585,0.6575781876503609,0.6090425531914894,0.6690354723677251,0.36278094713567827,820,427,147,229,False
