policy,candidate_key,alpha_wst,weight_cnn,threshold_oof,combined_model_size_kb,oof__accuracy,oof__balanced_accuracy,oof__macro_f1,oof__dry_precision,oof__wet_precision,oof__dry_recall,oof__wet_recall,oof__roc_auc,oof__average_precision_wet,oof__tn_dry_correct,oof__fp_dry_as_wet,oof__fn_wet_as_dry,oof__tp_wet_correct
max_macro_f1,late_fusion_wst_logmel_cnn__max_macro_f1__alpha0p65,0.65,0.35,0.5710445546811849,1089.7099609375,0.7307455329636475,0.6260109368868263,0.6249502269860953,0.827140549273021,0.42077922077922075,0.8211708099438653,0.4308510638297872,0.7019975601016908,0.3994765353453592,1024,223,214,162
max_macro_f1,late_fusion_wst_logmel_cnn__max_macro_f1__alpha0p70,0.7,0.30000000000000004,0.5380780408676669,1089.7099609375,0.6999383857054837,0.6440446433141668,0.6238387153423068,0.8435804701627486,0.39264990328820115,0.748195669607057,0.5398936170212766,0.6996451057004898,0.3968860787708269,933,314,173,203
max_macro_f1,late_fusion_wst_logmel_cnn__max_macro_f1__alpha0p75,0.75,0.25,0.5718004027891239,1089.7099609375,0.7301293900184843,0.6283964493507823,0.6264660260290558,0.8285946385052803,0.42091836734693877,0.8179631114675221,0.43882978723404253,0.6972499957344435,0.3938765071440401,1020,227,211,165
max_macro_f1,late_fusion_wst_logmel_cnn__max_macro_f1__alpha0p80,0.8,0.19999999999999996,0.5376616604783143,1089.7099609375,0.6968576709796673,0.6476127813134501,0.6243621104922474,0.8466483011937558,0.3913857677902622,0.739374498797113,0.5558510638297872,0.6945371018103021,0.39060233270266576,922,325,167,209
max_macro_f1,late_fusion_wst_logmel_cnn__max_macro_f1__alpha0p85,0.85,0.15000000000000002,0.5398627315390087,1089.7099609375,0.6987060998151571,0.6488156682420789,0.6258981377561723,0.8470695970695971,0.3935969868173258,0.7417802726543705,0.5558510638297872,0.6918903240116705,0.3876121001196833,925,322,167,209
max_macro_f1,late_fusion_wst_logmel_cnn__max_macro_f1__alpha0p90,0.9,0.09999999999999998,0.5360986965125758,1089.7099609375,0.6943930991990142,0.6497242317732772,0.6243069582326828,0.8486536675951718,0.3901098901098901,0.7329591018444266,0.5664893617021277,0.688834052790527,0.3842335948393976,914,333,163,213
max_macro_f1,late_fusion_wst_logmel_cnn__max_macro_f1__alpha0p95,0.95,0.050000000000000044,0.5426918728099566,1089.7099609375,0.6987060998151571,0.6478868433175793,0.6253917082230996,0.8464351005484461,0.3931947069943289,0.7425821972734563,0.5531914893617021,0.6859825282806394,0.38137671406958873,926,321,168,208
max_macro_f1,late_fusion_wst_logmel_cnn__max_macro_f1__alpha1p00,1.0,0.0,0.5451205938234057,961.1357421875,0.7011706715958103,0.6485618676312511,0.6269324482583261,0.8463636363636363,0.39579349904397704,0.7465918203688853,0.550531914893617,0.6833378832602501,0.379408099517243,931,316,169,207
max_macro_f1_wet_recall_ge_0p55,late_fusion_wst_logmel_cnn__max_macro_f1_wet_recall_ge_0p55__alpha0p00,0.0,1.0,0.507914787530899,128.57421875,0.6574245224892175,0.6395988670681978,0.6008559771550702,0.8500506585612969,0.3584905660377358,0.6728147554129912,0.6063829787234043,0.6838092272517872,0.37696669182243353,839,408,148,228
max_macro_f1_wet_recall_ge_0p55,late_fusion_wst_logmel_cnn__max_macro_f1_wet_recall_ge_0p55__alpha0p05,0.05,0.95,0.5193084863540205,1089.7099609375,0.6734442390634627,0.6333050384753194,0.6056345131120484,0.8417540514775977,0.36585365853658536,0.7080994386527666,0.5585106382978723,0.6897895374430548,0.3841402200046906,883,364,166,210
max_macro_f1_wet_recall_ge_0p55,late_fusion_wst_logmel_cnn__max_macro_f1_wet_recall_ge_0p55__alpha0p10,0.1,0.9,0.5212649776124634,1089.7099609375,0.6746765249537893,0.6313204883209063,0.605161889596603,0.8401135288552507,0.3657243816254417,0.7121090617481957,0.550531914893617,0.6949871180194169,0.39080653386940256,888,359,169,207
max_macro_f1_wet_recall_ge_0p55,late_fusion_wst_logmel_cnn__max_macro_f1_wet_recall_ge_0p55__alpha0p15,0.15,0.85,0.5139142613341283,1089.7099609375,0.6722119531731362,0.6436490129502295,0.6102783996533545,0.8494623655913979,0.37,0.6968724939855654,0.5904255319148937,0.6995363340101349,0.39664837741178866,869,378,154,222
max_macro_f1_wet_recall_ge_0p55,late_fusion_wst_logmel_cnn__max_macro_f1_wet_recall_ge_0p55__alpha0p20,0.2,0.8,0.5206188284878424,1089.7099609375,0.6833025261860751,0.6452933849750039,0.6165906792903759,0.8480531813865148,0.37894736842105264,0.7161186848436247,0.574468085106383,0.7030596836663312,0.4009145307909646,893,354,160,216
max_macro_f1_wet_recall_ge_0p55,late_fusion_wst_logmel_cnn__max_macro_f1_wet_recall_ge_0p55__alpha0p25,0.25,0.75,0.5150408147346188,1089.7099609375,0.6777572396796057,0.6500441485096146,0.6161973821106523,0.8528265107212476,0.3768844221105528,0.7016840417000801,0.598404255319149,0.7057661792557457,0.4037237705230001,875,372,151,225
max_macro_f1_wet_recall_ge_0p55,late_fusion_wst_logmel_cnn__max_macro_f1_wet_recall_ge_0p55__alpha0p30,0.3,0.7,0.5275824362181575,1089.7099609375,0.6882316697473814,0.6438569588288487,0.6182248742971052,0.84593837535014,0.3822463768115942,0.7265437048917401,0.5611702127659575,0.7073081779248921,0.40564332493334376,906,341,165,211
max_macro_f1_wet_recall_ge_0p55,late_fusion_wst_logmel_cnn__max_macro_f1_wet_recall_ge_0p55__alpha0p35,0.35,0.65,0.5303451963574619,1089.7099609375,0.6931608133086876,0.6433493576071934,0.620289879583277,0.8445262189512419,0.38619402985074625,0.7361668003207699,0.550531914893617,0.7079544097322938,0.40610717630677057,918,329,169,207
max_macro_f1_wet_recall_ge_0p55,late_fusion_wst_logmel_cnn__max_macro_f1_wet_recall_ge_0p55__alpha0p40,0.4,0.6,0.5221997892660073,1089.7099609375,0.6888478126925447,0.6526173454588886,0.6230693349337417,0.8519924098671727,0.3866432337434095,0.7201283079390537,0.5851063829787234,0.7081079697657358,0.4059511416251108,898,349,156,220
max_macro_f1_wet_recall_ge_0p55,late_fusion_wst_logmel_cnn__max_macro_f1_wet_recall_ge_0p55__alpha0p45,0.45,0.55,0.5250849777575942,1089.7099609375,0.6919285274183611,0.6518356822331042,0.6242025592199344,0.8507042253521127,0.3888888888888889,0.7265437048917401,0.5771276595744681,0.7077581941340068,0.40524963266480496,906,341,159,217
max_macro_f1_wet_recall_ge_0p55,late_fusion_wst_logmel_cnn__max_macro_f1_wet_recall_ge_0p55__alpha0p50,0.5,0.5,0.5249374458977039,1089.7099609375,0.6888478126925447,0.6489020457608901,0.6211682465670734,0.8493408662900188,0.3850267379679144,0.723336006415397,0.574468085106383,0.7069733317408589,0.4042105586039387,902,345,160,216
max_macro_f1_wet_recall_ge_0p55,late_fusion_wst_logmel_cnn__max_macro_f1_wet_recall_ge_0p55__alpha0p55,0.55,0.44999999999999996,0.5306438353365586,1089.7099609375,0.6925446703635243,0.6438772202221502,0.6202867973359777,0.8450184501845018,0.38589981447124305,0.7345629510825983,0.5531914893617021,0.7056723370130867,0.4024154815787388,916,331,168,208
max_macro_f1_wet_recall_ge_0p55,late_fusion_wst_logmel_cnn__max_macro_f1_wet_recall_ge_0p55__alpha0p60,0.6,0.4,0.5297459435876569,1089.7099609375,0.6919285274183611,0.6462627326861062,0.6212771756377851,0.8467966573816156,0.38644688644688646,0.731355252606255,0.5611702127659575,0.7040258322100701,0.4008915718407676,912,335,165,211
max_macro_f1_wet_recall_ge_0p55,late_fusion_wst_logmel_cnn__max_macro_f1_wet_recall_ge_0p55__alpha0p65,0.65,0.35,0.5295354450886316,1089.7099609375,0.6900800985828712,0.6469174956064768,0.6207332613857512,0.8476635514018691,0.38517179023508136,0.7273456295108259,0.5664893617021277,0.7019975601016908,0.3994765353453592,907,340,163,213
max_macro_f1_wet_recall_ge_0p55,late_fusion_wst_logmel_cnn__max_macro_f1_wet_recall_ge_0p55__alpha0p70,0.7,0.30000000000000004,0.5260676494577956,1089.7099609375,0.6839186691312384,0.6466231722090464,0.6175744194367598,0.8488593155893536,0.38003502626970226,0.7161186848436247,0.5771276595744681,0.6996451057004898,0.3968860787708269,893,354,159,217
max_macro_f1_wet_recall_ge_0p55,late_fusion_wst_logmel_cnn__max_macro_f1_wet_recall_ge_0p55__alpha0p75,0.75,0.25,0.534315802358202,1089.7099609375,0.6925446703635243,0.6448060451466497,0.6207895985050286,0.8456561922365989,0.38632162661737524,0.7337610264635124,0.5558510638297872,0.6972499957344435,0.3938765071440401,915,332,167,209
max_macro_f1_wet_recall_ge_0p55,late_fusion_wst_logmel_cnn__max_macro_f1_wet_recall_ge_0p55__alpha0p80,0.8,0.19999999999999996,0.5376616604783143,1089.7099609375,0.6968576709796673,0.6476127813134501,0.6243621104922474,0.8466483011937558,0.3913857677902622,0.739374498797113,0.5558510638297872,0.6945371018103021,0.39060233270266576,922,325,167,209
max_macro_f1_wet_recall_ge_0p55,late_fusion_wst_logmel_cnn__max_macro_f1_wet_recall_ge_0p55__alpha0p85,0.85,0.15000000000000002,0.5398627315390087,1089.7099609375,0.6987060998151571,0.6488156682420789,0.6258981377561723,0.8470695970695971,0.3935969868173258,0.7417802726543705,0.5558510638297872,0.6918903240116705,0.3876121001196833,925,322,167,209
max_macro_f1_wet_recall_ge_0p55,late_fusion_wst_logmel_cnn__max_macro_f1_wet_recall_ge_0p55__alpha0p90,0.9,0.09999999999999998,0.5360986965125758,1089.7099609375,0.6943930991990142,0.6497242317732772,0.6243069582326828,0.8486536675951718,0.3901098901098901,0.7329591018444266,0.5664893617021277,0.688834052790527,0.3842335948393976,914,333,163,213
max_macro_f1_wet_recall_ge_0p55,late_fusion_wst_logmel_cnn__max_macro_f1_wet_recall_ge_0p55__alpha0p95,0.95,0.050000000000000044,0.5426918728099566,1089.7099609375,0.6987060998151571,0.6478868433175793,0.6253917082230996,0.8464351005484461,0.3931947069943289,0.7425821972734563,0.5531914893617021,0.6859825282806394,0.38137671406958873,926,321,168,208
max_macro_f1_wet_recall_ge_0p55,late_fusion_wst_logmel_cnn__max_macro_f1_wet_recall_ge_0p55__alpha1p00,1.0,0.0,0.5451205938234057,961.1357421875,0.7011706715958103,0.6485618676312511,0.6269324482583261,0.8463636363636363,0.39579349904397704,0.7465918203688853,0.550531914893617,0.6833378832602501,0.379408099517243,931,316,169,207
