candidate,representation_key,pca_components,c_value,penalty,class_weight,input_dimension,output_dimension,threshold,elapsed_seconds,max_iterations,selected,oof_tuned__n_samples,oof_tuned__n_no_cough,oof_tuned__n_cough,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__precision_cough,oof_tuned__recall_cough,oof_tuned__specificity_no_cough,oof_tuned__f1_cough,oof_tuned__macro_f1,oof_tuned__roc_auc,oof_tuned__tn_no_cough_correct,oof_tuned__fp_no_cough_as_cough,oof_tuned__fn_cough_as_no_cough,oof_tuned__tp_cough_correct,oof_0p5__n_samples,oof_0p5__n_no_cough,oof_0p5__n_cough,oof_0p5__accuracy,oof_0p5__balanced_accuracy,oof_0p5__precision_cough,oof_0p5__recall_cough,oof_0p5__specificity_no_cough,oof_0p5__f1_cough,oof_0p5__macro_f1,oof_0p5__roc_auc,oof_0p5__tn_no_cough_correct,oof_0p5__fp_no_cough_as_cough,oof_0p5__fn_cough_as_no_cough,oof_0p5__tp_cough_correct,oof_tuned__original_cough_count,oof_tuned__original_cough_recall,oof_tuned__new_fsd50k_cough_count,oof_tuned__new_fsd50k_cough_recall
s0_s1__log__peak_rms__pcanone__C0p01__l2__weight_none,s0_s1__log__peak_rms,,0.01,l2,,291,291,0.52,2.331212199991569,6,False,7341,5237,2104,0.9207192480588475,0.9078966403137663,0.8503683241252302,0.877851711026616,0.9379415696009166,0.8638914873713751,0.9039811078986416,0.957696352583366,4912,325,257,1847,7341,5237,2104,0.919901920719248,0.9098828186543395,0.8423667570009034,0.8864068441064639,0.933358793202215,0.8638258452987494,0.9035454969450134,0.957696352583366,4888,349,239,1865,1983,0.9208270297528997,121,0.17355371900826447
s0_s1__log__peak_rms__pcanone__C0p01__l2__weight_balanced,s0_s1__log__peak_rms,,0.01,l2,balanced,291,291,0.66,2.4513903000042774,7,False,7341,5237,2104,0.9196294782727149,0.9105448781011971,0.8397666068222621,0.8892585551330798,0.9318312010693145,0.8638042474607571,0.9033997082714413,0.9567760944899956,4880,357,233,1871,7341,5237,2104,0.8915679062797984,0.9029614159559322,0.7511520737327189,0.9296577946768061,0.8762650372350582,0.8309260832625318,0.8755592918819176,0.9567760944899956,4589,648,148,1956,1983,0.9324256177508825,121,0.18181818181818182
s0_s1__log__peak_rms__pcanone__C0p1__l2__weight_none,s0_s1__log__peak_rms,,0.1,l2,,291,291,0.53,3.4222438000142574,8,False,7341,5237,2104,0.9286200790083095,0.9110173044823648,0.8798076923076923,0.8697718631178707,0.9522627458468589,0.8747609942638623,0.9124233624396088,0.9628389980331524,4987,250,274,1830,7341,5237,2104,0.9272578667756436,0.9126215847897128,0.8692380056444027,0.8783269961977186,0.9469161733817071,0.873758865248227,0.9113340824518976,0.9628389980331524,4959,278,256,1848,1983,0.9127584467977812,121,0.1652892561983471
s0_s1__log__peak_rms__pcanone__C0p1__l2__weight_balanced,s0_s1__log__peak_rms,,0.1,l2,balanced,291,291,0.69,3.3839050999959,10,False,7341,5237,2104,0.9256232120964446,0.910196377994832,0.8674528301886792,0.8740494296577946,0.9463433263318694,0.8707386363636364,0.9092649005111355,0.9618631977353302,4956,281,265,1839,7341,5237,2104,0.9134995232257186,0.9162002906345679,0.8043928719436386,0.9225285171102662,0.9098720641588696,0.8594199690059774,0.8984753558753449,0.9618631977353302,4765,472,163,1941,1983,0.9162884518406454,121,0.18181818181818182
s0_s1__log__peak_rms__pca64__C0p001__l2__weight_none,s0_s1__log__peak_rms,64.0,0.001,l2,,291,64,0.58,1.1150201999698766,5,False,7341,5237,2104,0.8990600735594606,0.8891619915619412,0.7987724682156949,0.8659695817490495,0.9123544013748329,0.8310148232611174,0.879526057838192,0.9421385454912435,4778,459,282,1822,7341,5237,2104,0.887753712028334,0.8970182639467201,0.7474864655839134,0.9187262357414449,0.8753102921519954,0.8243070362473347,0.8709205317345561,0.9421385454912435,4584,653,171,1933,1983,0.9087241553202219,121,0.1652892561983471
s0_s1__log__peak_rms__pca64__C0p001__l2__weight_balanced,s0_s1__log__peak_rms,64.0,0.001,l2,balanced,291,64,0.65,1.0805265000090003,6,False,7341,5237,2104,0.8934750034055305,0.8944884617423118,0.7695758564437194,0.8968631178707225,0.8921138056139011,0.8283582089552238,0.8755656342030711,0.9418760813486373,4672,565,217,1887,7341,5237,2104,0.8436180356899605,0.8753254482764128,0.6572368421052631,0.9496197718631179,0.8010311246897078,0.7768273716951789,0.8282333545412359,0.9418760813486373,4195,1042,106,1998,1983,0.9389813414019162,121,0.2066115702479339
s0_s1__log__peak_rms__pca64__C0p01__l2__weight_none,s0_s1__log__peak_rms,64.0,0.01,l2,,291,64,0.49,1.1707439000019804,6,False,7341,5237,2104,0.9145892930118512,0.9053063043669242,0.8295403837572513,0.8835551330798479,0.9270574756540004,0.8556962025316456,0.8975201531183912,0.9543566506526027,4855,382,245,1859,7341,5237,2104,0.9147255142351178,0.9035535938710448,0.8337850045167118,0.8773764258555133,0.9297307618865763,0.8550254747568319,0.8973120426659498,0.9543566506526027,4869,368,258,1846,1983,0.9268784669692385,121,0.17355371900826447
s0_s1__log__peak_rms__pca64__C0p01__l2__weight_balanced,s0_s1__log__peak_rms,64.0,0.01,l2,balanced,291,64,0.65,1.183452400029637,7,False,7341,5237,2104,0.914044408118785,0.9064882551833946,0.8248786943096603,0.8887832699619772,0.9241932404048119,0.8556394417753375,0.8972213308188102,0.9536313348062303,4840,397,234,1870,7341,5237,2104,0.8874812695818008,0.9002393487839887,0.742412746585736,0.9301330798479087,0.8703456177200687,0.8257383966244726,0.871328260875101,0.9536313348062303,4558,679,147,1957,1983,0.9314170448814927,121,0.19008264462809918
s0_s1__log__peak_rms__pca64__C0p1__l2__weight_none,s0_s1__log__peak_rms,64.0,0.1,l2,,291,64,0.52,1.177865199977532,7,False,7341,5237,2104,0.9175861599237161,0.8998718354556747,0.8547089446284903,0.8583650190114068,0.9413786518999427,0.8565330803889021,0.8993606634624873,0.9553391668378916,4930,307,298,1806,7341,5237,2104,0.9164963901375834,0.9008140563161651,0.8475524475524475,0.8640684410646388,0.9375596715676914,0.8557307601788656,0.8984874446921358,0.9553391668378916,4910,327,286,1818,1983,0.9006555723651034,121,0.1652892561983471
s0_s1__log__peak_rms__pca64__C0p1__l2__weight_balanced,s0_s1__log__peak_rms,64.0,0.1,l2,balanced,291,64,0.69,1.1913544000126421,8,False,7341,5237,2104,0.9158152840212506,0.8999101795428985,0.8465485074626866,0.8626425855513308,0.9371777735344663,0.8545197740112994,0.897645165901567,0.9540866538254056,4908,329,289,1815,7341,5237,2104,0.8986514098896609,0.9042297203794876,0.772,0.9173003802281369,0.8911590605308383,0.838401390095569,0.8822886093164886,0.9540866538254056,4667,570,174,1930,1983,0.9041855774079677,121,0.18181818181818182
s0_s1__log__peak_rms__pca128__C0p001__l2__weight_none,s0_s1__log__peak_rms,128.0,0.001,l2,,291,128,0.56,1.3627066999906674,5,False,7341,5237,2104,0.8979703037733279,0.8942270866625379,0.785744411640658,0.8854562737642585,0.9029978995608172,0.8326256983240223,0.8796223426468746,0.9428114048111891,4729,508,241,1863,7341,5237,2104,0.8889797030377333,0.8978775345214767,0.7500970120294916,0.9187262357414449,0.8770288333015085,0.825891903439436,0.8722000263122587,0.9428114048111891,4593,644,171,1933,1983,0.9288956127080181,121,0.17355371900826447
s0_s1__log__peak_rms__pca128__C0p001__l2__weight_balanced,s0_s1__log__peak_rms,128.0,0.001,l2,balanced,291,128,0.67,1.5160736999823712,6,False,7341,5237,2104,0.8956545429777959,0.8920353477123509,0.7810924369747899,0.8835551330798479,0.900515562344854,0.8291703835860839,0.8770288081884136,0.9424289622465477,4716,521,245,1859,7341,5237,2104,0.8434818144666939,0.8749456376136164,0.6572275271649655,0.9486692015209125,0.8012220737063204,0.7765026259482591,0.828037498908518,0.9424289622465477,4196,1041,108,1996,1983,0.9263741805345436,121,0.18181818181818182
s0_s1__log__peak_rms__pca128__C0p01__l2__weight_none,s0_s1__log__peak_rms,128.0,0.01,l2,,291,128,0.53,1.3982078999979421,6,False,7341,5237,2104,0.9190845933796485,0.9046184250554152,0.8505106778087279,0.870722433460076,0.9385144166507543,0.8604978863316111,0.9017570014927434,0.9564396648300226,4915,322,272,1832,7341,5237,2104,0.9179948235935159,0.9075509989973362,0.8392050587172538,0.8830798479087453,0.932022150085927,0.8605836035201482,0.9012489611579899,0.9564396648300226,4881,356,246,1858,1983,0.9142713061018659,121,0.15702479338842976
s0_s1__log__peak_rms__pca128__C0p01__l2__weight_balanced,s0_s1__log__peak_rms,128.0,0.01,l2,balanced,291,128,0.67,1.3080654999939725,7,False,7341,5237,2104,0.9186759297098488,0.9085970438478477,0.839873703202526,0.8849809885931559,0.9322130991025396,0.8618375376070354,0.9021088083749876,0.9555568886491339,4882,355,242,1862,7341,5237,2104,0.8891159242609998,0.9015272109609092,0.7456207159177456,0.9306083650190115,0.872446056902807,0.827906976744186,0.8730571861212891,0.9555568886491339,4569,668,146,1958,1983,0.9278870398386283,121,0.18181818181818182
s0_s1__log__peak_rms__pca128__C0p1__l2__weight_none,s0_s1__log__peak_rms,128.0,0.1,l2,,291,128,0.48,1.4972732000169344,7,False,7341,5237,2104,0.9223539027380466,0.9090423344134416,0.8550925925925926,0.877851711026616,0.9402329578002673,0.8663227016885553,0.9058048524760688,0.959183649391468,4924,313,257,1847,7341,5237,2104,0.9220814602915134,0.9065766961609083,0.85962441314554,0.8702471482889734,0.9429062440328432,0.8649031648559282,0.9050779223973362,0.959183649391468,4938,299,273,1831,1983,0.9198184568835098,121,0.19008264462809918
s0_s1__log__peak_rms__pca128__C0p1__l2__weight_balanced,s0_s1__log__peak_rms,128.0,0.1,l2,balanced,291,128,0.68,1.559057600039523,9,False,7341,5237,2104,0.9208554692821141,0.906428265972377,0.8543508608655188,0.8726235741444867,0.9402329578002673,0.8633905478485775,0.9038402542675623,0.9579323161970507,4924,313,268,1836,7341,5237,2104,0.9047813649366572,0.9093790817167405,0.7847588163761654,0.9201520912547528,0.8986060721787282,0.8470794136950339,0.8889733929319794,0.9579323161970507,4706,531,168,1936,1983,0.9142713061018659,121,0.19008264462809918
