threshold,global_macro_f1,global_balanced_accuracy,global_precision_cough,global_recall_cough,global_specificity_no_cough,global_roc_auc,original_cough_recall,new_fsd50k_cough_recall,fsd50k_balanced_accuracy,fsd50k_macro_f1,fsd50k_precision_cough,fsd50k_recall_cough,fsd50k_specificity_no_cough,fsd50k_roc_auc,fsd50k_false_positives,fsd50k_false_negatives,phase,candidate,C,penalty,class_weight,new_fsd50k_cough_weight,passes_macro_f1_floor,passes_specificity_floor,passes_original_recall_floor,constraints_passed,eligible,threshold_distance_from_0p5
0.38,0.9516441548056869,0.9598941589560317,0.9048046699595869,0.9576996197718631,0.9620886981402003,0.9876447103956222,0.9884014120020171,0.45454545454545453,0.7114813538744237,0.6457136566495902,0.2391304347826087,0.45454545454545453,0.9684172532033929,0.8518153926924906,175,66,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,True,False,True,2,False,0.12
0.39,0.9528364056010387,0.9601647791249857,0.9091730682331677,0.9562737642585551,0.9640557939914163,0.9876447103956222,0.9884014120020171,0.4297520661157025,0.6999870238537365,0.6431962357686006,0.23963133640552994,0.4297520661157025,0.9702219815917704,0.8518153926924906,165,69,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,True,False,True,2,False,0.10999999999999999
0.4,0.954072152511042,0.9608800867072461,0.9124716553287981,0.9562737642585551,0.9654864091559371,0.9876447103956222,0.9884014120020171,0.4297520661157025,0.7007089152090875,0.6472974239392285,0.24880382775119617,0.4297520661157025,0.9716657643024724,0.8518153926924906,157,69,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,True,True,True,3,True,0.09999999999999998
0.41,0.9550007233427753,0.9614165673939414,0.9149613460663938,0.9562737642585551,0.9665593705293276,0.9876447103956222,0.9884014120020171,0.4297520661157025,0.7012503337256007,0.6504938271604939,0.2561576354679803,0.4297520661157025,0.972748601335499,0.8518153926924906,151,69,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,True,True,True,3,True,0.09000000000000002
0.42,0.9549494074004836,0.9608236508428663,0.9164764947512551,0.9543726235741445,0.967274678111588,0.9876447103956222,0.9868885526979324,0.4214876033057851,0.6974790479983176,0.6500154532208928,0.25757575757575757,0.4214876033057851,0.9734704926908501,0.8518153926924906,147,70,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,True,True,True,3,True,0.08000000000000002
0.43,0.955053071496416,0.9603201477395736,0.918423464711274,0.9524714828897338,0.9681688125894135,0.9876447103956222,0.9853756933938477,0.4132231404958678,0.6937979986904533,0.6500722629099045,0.2604166666666667,0.4132231404958678,0.9743728568850388,0.8518153926924906,142,71,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,True,True,True,3,True,0.07
0.44,0.9549884860764164,0.9595790020507298,0.9203499079189686,0.9500950570342205,0.969062947067239,0.9876447103956222,0.9838628340897629,0.39669421487603307,0.6859847179776304,0.6473328848693225,0.2594594594594595,0.39669421487603307,0.9752752210792276,0.8518153926924906,137,73,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,True,True,True,3,True,0.06
0.45,0.9554164044417176,0.959402554980771,0.922792417938049,0.9486692015209125,0.9701359084406295,0.9876447103956222,0.9823499747856783,0.39669421487603307,0.6865261364941435,0.6507474600870827,0.2681564245810056,0.39669421487603307,0.9763580581122541,0.8518153926924906,131,73,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,True,True,True,3,True,0.04999999999999999
0.46,0.9558452846881783,0.9592261079108122,0.925255338904364,0.9472433460076045,0.97120886981402,0.9876447103956222,0.9813414019162885,0.3884297520661157,0.6829353236056982,0.6513895218656204,0.27325581395348836,0.3884297520661157,0.9774408951452807,0.8518153926924906,125,74,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,True,True,True,3,True,0.03999999999999998
0.47,0.9561189774779055,0.958960247393071,0.9273066169617894,0.9458174904942965,0.9721030042918455,0.9876447103956222,0.9798285426122038,0.3884297520661157,0.6833865057027926,0.6544050279892071,0.281437125748503,0.3884297520661157,0.9783432593394694,0.8518153926924906,120,74,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,True,True,True,3,True,0.030000000000000027
