candidate_key,C,gamma,gamma_multiplier_over_dimension,pca_components,pca_whiten,threshold_oof,elapsed_fit_seconds,support_vectors_mean_cv,support_vectors_max_cv,support_vector_fraction_mean_cv,kernel_feature_products_mean_cv,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,native__accuracy,native__balanced_accuracy,native__macro_f1,native__dry_precision,native__wet_precision,native__dry_recall,native__wet_recall,native__roc_auc,native__average_precision_wet,native__tn_dry_correct,native__fp_dry_as_wet,native__fn_wet_as_dry,native__tp_wet_correct
rbf_svm__C0p1__gamma0p5overD__pca32,0.1,0.015625,0.5,32,True,0.22537130571004438,0.2683793995529413,1237.6,1249,0.9531716349307455,39603.2,0.7153419593345656,0.6104139296012558,0.6081037856551517,0.8204081632653061,0.39195979899497485,0.805934242181235,0.4148936170212766,0.667367639782286,0.36948730192033136,1005,242,220,156,0.662969808995687,0.6209157296660922,0.5942323821189677,0.8352490421455939,0.35233160621761656,0.6992782678428228,0.5425531914893617,0.667367639782286,0.36948730192033136,872,375,172,204
rbf_svm__C1__gamma1overD__pca64,1.0,0.015625,1.0,64,True,-0.05552313280936305,0.27603530138731003,1115.6,1139,0.8592108899698833,71398.4,0.7005545286506469,0.6147232080397209,0.606025461214802,0.8249359521776259,0.37831858407079644,0.7746591820368885,0.45478723404255317,0.6643625552389565,0.3531315168981749,966,281,205,171,0.7104128157732594,0.6062774062004129,0.6034219227649884,0.8187038556193601,0.38366336633663367,0.8003207698476343,0.4122340425531915,0.6643625552389565,0.3531315168981749,998,249,221,155
rbf_svm__C10__gamma0p5overD__pca32,10.0,0.015625,0.5,32,True,0.03386446945853727,0.3059471007436514,922.0,937,0.710104608143517,29504.0,0.7104128157732594,0.6072062311249126,0.6041151144252167,0.819227608874281,0.3842364532019704,0.7995188452285485,0.4148936170212766,0.6404754389257622,0.3389540014303367,997,250,220,156,0.6987060998151571,0.6005167721680971,0.5954349453976568,0.8168896321070234,0.36768149882903983,0.7834803528468324,0.4175531914893617,0.6404754389257622,0.3389540014303367,977,270,219,157
rbf_svm__C0p1__gamma1overD__pca32,0.1,0.03125,1.0,32,True,0.5026833421933274,0.26905730180442333,1231.4,1245,0.9483962417457544,39404.8,0.7159581022797289,0.5987401678923032,0.5991955014937702,0.8138977635782748,0.38544474393531,0.8171611868484362,0.3803191489361702,0.6530076438772201,0.3533646936640812,1019,228,233,143,0.5791743684534812,0.6146837516422392,0.5477217971027502,0.8507462686567164,0.3125763125763126,0.5485164394546913,0.6808510638297872,0.6530076438772201,0.3533646936640812,684,563,120,256
rbf_svm__C0p1__gamma0p25overD__pca64,0.1,0.00390625,0.25,64,True,-0.11120478030299297,0.3366201017051935,1290.4,1295,0.993837857970633,82585.6,0.7196549599507086,0.597430642051562,0.5991024028394776,0.8127962085308057,0.38935574229691877,0.8251804330392943,0.3696808510638298,0.6563369107133717,0.34475053281122403,1029,218,237,139,0.729513247073321,0.5657642170997629,0.5702633015377099,0.7961876832844574,0.3783783783783784,0.8708901363271853,0.26063829787234044,0.6563369107133717,0.34475053281122403,1086,161,278,98
rbf_svm__C0p1__gamma0p5overD__pca64,0.1,0.0078125,0.5,64,True,0.14888629614699106,0.3188333995640278,1267.0,1274,0.9758153421323265,81088.0,0.7153419593345656,0.5983392055827603,0.5987024914048886,0.8137490007993605,0.3844086021505376,0.8163592622293504,0.3803191489361702,0.6486759712672117,0.3394819901434366,1018,229,233,143,0.6759088108441158,0.5977558907335051,0.5858006482038542,0.8181818181818182,0.3469387755102041,0.7433841218925421,0.4521276595744681,0.6486759712672117,0.3394819901434366,927,320,206,170
rbf_svm__C100__gamma1overD__pca128,100.0,0.0078125,1.0,128,True,-0.3884883784504235,0.4609758984297514,1023.2,1045,0.7880443769119543,130969.6,0.6678989525569933,0.6250522530669351,0.5986899116591807,0.8371428571428572,0.35776614310645727,0.7048917401764234,0.5452127659574468,0.6514272551997133,0.343291086646594,879,368,171,205,0.7239679605668515,0.5445078827483834,0.5455145514551455,0.7867910983488873,0.34347826086956523,0.8789093825180433,0.21010638297872342,0.6514272551997133,0.343291086646594,1096,151,297,79
rbf_svm__C1__gamma1overD__pca128,1.0,0.0078125,1.0,128,True,-0.05275320372871445,0.34207459911704063,1130.2,1143,0.8704535075576685,144665.6,0.7091805298829328,0.5999025320343292,0.5981914692738602,0.8152969894222946,0.37817258883248733,0.8035284683239775,0.3962765957446808,0.6674486853554915,0.361686642696687,1002,245,227,149,0.7153419593345656,0.5927662560357624,0.5941094318378659,0.8107680126682502,0.38055555555555554,0.8211708099438653,0.36436170212765956,0.6674486853554915,0.361686642696687,1024,223,239,137
rbf_svm__C1__gamma2overD__pca32,1.0,0.0625,2.0,32,True,-0.13086179952876995,0.2648399993777275,1129.4,1149,0.8698409704750958,36140.8,0.7017868145409735,0.598806284017813,0.595136684121552,0.815550041356493,0.3695652173913043,0.7906976744186046,0.40691489361702127,0.6548930198433687,0.33890403626893906,986,261,223,153,0.7208872458410351,0.5805848931051545,0.5844410192236279,0.8039816232771823,0.3785488958990536,0.8420208500400962,0.3191489361702128,0.6548930198433687,0.33890403626893906,1050,197,256,120
rbf_svm__C10__gamma0p5overD__pca128,10.0,0.00390625,0.5,128,True,-0.28839439703466396,0.48246680200099945,982.4,1010,0.7566201807482584,125747.2,0.6746765249537893,0.6127439898309134,0.5946890868226088,0.8277119416590701,0.35551330798479086,0.7281475541299118,0.4973404255319149,0.646765001962156,0.360530962736738,908,339,189,187,0.7159581022797289,0.5764483697043116,0.5797445787436536,0.8023076923076923,0.3684210526315789,0.8364073777064955,0.31648936170212766,0.646765001962156,0.360530962736738,1043,204,257,119
rbf_svm__C100__gamma0p5overD__pca128,100.0,0.00390625,0.5,128,True,-0.32182115167541164,0.5477990005165339,904.4,933,0.6965475398285512,115763.2,0.6746765249537893,0.6118151649064137,0.5941346973572037,0.827115559599636,0.3549618320610687,0.7289494787489976,0.4946808510638298,0.642456789912812,0.3455618265456023,909,338,190,186,0.7024029574861368,0.5527660001023733,0.5550454002870971,0.7916030534351145,0.329073482428115,0.8315958299919808,0.27393617021276595,0.642456789912812,0.3455618265456023,1037,210,273,103
