candidate,family,n_estimators,max_depth,min_samples_leaf,threshold,n_samples,n_no_cough,n_cough,accuracy,balanced_accuracy,precision_cough,recall_cough,specificity_no_cough,f1_cough,macro_f1,roc_auc,tn_no_cough_correct,fp_no_cough_as_cough,fn_cough_as_no_cough,tp_cough_correct,cv_fit_seconds,mean_tree_nodes_cv,selected
rf__trees75__depth10__leaf5,rf,75,10,5,0.5,7628,5658,1970,0.9785002621919245,0.9752501736008311,0.9492537313432836,0.9685279187817258,0.9819724284199364,0.9587939698492463,0.9721249026259356,0.9971088060030899,5556,102,62,1908,2.4867164000024786,12736.6,False
rf__trees75__depth12__leaf2,rf,75,12,2,0.5,7628,5658,1970,0.9792868379653906,0.9737951564022371,0.9575757575757575,0.9624365482233502,0.985153764581124,0.96,0.9730125597028126,0.9971237886071201,5574,84,74,1896,2.6511448999808636,16766.6,False
rf__trees75__depth12__leaf5,rf,75,12,5,0.5,7628,5658,1970,0.9788935500786575,0.97419179168618,0.9542943244600703,0.9644670050761421,0.9839165782962177,0.9593536985609694,0.9725498019143934,0.9972872515085778,5567,91,70,1900,2.5767170999752125,13745.0,False
rf__trees100__depth6__leaf2,rf,100,6,2,0.5,7628,5658,1970,0.9740429994756161,0.9753888748333521,0.925552353506244,0.9781725888324873,0.972605160834217,0.9511352418558736,0.9667314909743487,0.9965598326254727,5503,155,43,1927,2.686275299973204,9444.8,False
rf__trees100__depth6__leaf5,rf,100,6,5,0.5,7628,5658,1970,0.9745673833245936,0.9755769199713626,0.9277456647398844,0.9776649746192894,0.9734888653234358,0.9520514087988137,0.9673727159961953,0.9965781347285996,5508,150,44,1926,2.565662099979818,8994.4,False
rf__trees100__depth8__leaf2,rf,100,8,2,0.5,7628,5658,1970,0.9783691662296802,0.9763198597556489,0.945679012345679,0.9720812182741116,0.9805585012371862,0.9586983729662077,0.9720230165159607,0.9970347901448557,5548,110,55,1915,2.968885800000862,16575.6,False
rf__trees100__depth8__leaf5,rf,100,8,5,0.5,7628,5658,1970,0.9770582066072365,0.9764287752124927,0.9384465070835368,0.9751269035532995,0.9777306468716861,0.9564351506099079,0.9704321851456872,0.9970320986591018,5532,126,49,1921,2.924882699997397,14504.8,False
rf__trees100__depth10__leaf2,rf,100,10,2,0.5,7628,5658,1970,0.9778447823807027,0.9728230814640965,0.9522852837769965,0.9624365482233502,0.9832096147048427,0.957334006563999,0.971185816916351,0.9970988475058001,5563,95,74,1896,3.1575291999906767,20346.4,False
rf__trees100__depth10__leaf5,rf,100,10,5,0.5,7628,5658,1970,0.9787624541164132,0.9757577878140291,0.9493041749502982,0.9695431472081218,0.9819724284199364,0.9593169261677549,0.9724737903856338,0.9972704745807114,5556,102,60,1910,3.179409600008512,16996.4,False
rf__trees100__depth12__leaf2,rf,100,12,2,0.5,7628,5658,1970,0.979417933927635,0.973883526851159,0.9580596260737746,0.9624365482233502,0.9853305054789678,0.9602430995188656,0.9731789478314236,0.9972034565854376,5575,83,74,1896,3.350688500024262,22410.8,False
rf__trees100__depth12__leaf5,rf,100,12,5,0.5,7628,5658,1970,0.9798112218143681,0.9754721314593415,0.9558232931726908,0.966497461928934,0.984446800989749,0.9611307420494699,0.9737475916728667,0.9973594730429758,5570,88,66,1904,3.5164246000058483,18376.8,False
