candidate_key,model_name,C,pca_components,output_dimension,score_type,native_threshold,threshold_oof,elapsed_fit_seconds,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,native__accuracy,native__balanced_accuracy,native__macro_f1,native__dry_precision,native__wet_precision,native__dry_recall,native__wet_recall,native__roc_auc,native__average_precision_wet,native__tn_dry_correct,native__fp_dry_as_wet,native__fn_wet_as_dry,native__tp_wet_correct
linear_svm__C0.0001__pcanone,linear_svm,0.0001,,1932,wet_decision_score,0.0,0.14749763887914574,1.1836270987987518,0.7239679605668515,0.6206715265573547,0.6186224115141724,0.8250610252237591,0.4086294416243655,0.8131515637530072,0.42819148936170215,0.6811816444573359,0.3758860651136136,1014,233,215,161,0.6426370918052988,0.6374063710351652,0.5921559316629176,0.8521647307286166,0.34911242603550297,0.6471531676022454,0.6276595744680851,0.6811816444573359,0.3758860651136136,807,440,140,236
linear_svm__C1__pca32,linear_svm,1.0,32.0,32,wet_decision_score,0.0,0.039167454005816456,0.027487602084875107,0.6987060998151571,0.6358121192990838,0.6185476928933241,0.8383928571428572,0.38767395626242546,0.7530072173215717,0.5186170212765957,0.6793431896125168,0.3760335768868073,939,308,181,195,0.674060382008626,0.6327771758603628,0.6056469159494073,0.841254752851711,0.3660245183887916,0.7097032878909383,0.5558510638297872,0.6793431896125168,0.3760335768868073,885,362,167,209
linear_svm__C0.1__pca32,linear_svm,0.1,32.0,32,wet_decision_score,0.0,0.03939186393243054,0.02731579914689064,0.6987060998151571,0.6358121192990838,0.6185476928933241,0.8383928571428572,0.38767395626242546,0.7530072173215717,0.5186170212765957,0.6793325257213055,0.3760346966429876,939,308,181,195,0.674060382008626,0.6327771758603628,0.6056469159494073,0.841254752851711,0.3660245183887916,0.7097032878909383,0.5558510638297872,0.6793325257213055,0.3760346966429876,885,362,167,209
linear_svm__C0.01__pca32,linear_svm,0.01,32.0,32,wet_decision_score,0.0,0.0451498338212097,0.03066140227019787,0.7005545286506469,0.6342285314542135,0.6184169278996865,0.8370239149689991,0.38866396761133604,0.7578187650360866,0.5106382978723404,0.6793751812861505,0.3760234328539,945,302,184,192,0.6728280961182994,0.6319752512412768,0.6046462766067253,0.840952380952381,0.3647469458987784,0.7080994386527666,0.5558510638297872,0.6793751812861505,0.3760234328539,883,364,167,209
logistic_regression__C0.1__pca32,logistic_regression,0.1,32.0,32,wet_probability,0.5,0.536250842009304,0.027607399970293045,0.7036352433764633,0.6315892183794297,0.6181279212250618,0.8347902097902098,0.3903966597077244,0.7658380112269446,0.4973404255319149,0.6797164258049105,0.3768449300225576,955,292,189,187,0.6703635243376463,0.6424461260216008,0.6087646487125083,0.8490196078431372,0.3681592039800995,0.6944667201283079,0.5904255319148937,0.6797164258049105,0.3768449300225576,866,381,154,222
logistic_regression__C10__pca32,logistic_regression,10.0,32.0,32,wet_probability,0.5,0.5350201507423621,0.031400999054312706,0.7030191004313001,0.6311882560698868,0.6176211238415517,0.8346456692913385,0.38958333333333334,0.7650360866078588,0.4973404255319149,0.6796673719053388,0.3769031678268199,954,293,189,187,0.6703635243376463,0.6405884761726015,0.6078515056057989,0.84765625,0.3672787979966611,0.6960705693664796,0.5851063829787234,0.6796673719053388,0.3769031678268199,868,379,156,220
logistic_regression__C1__pca32,logistic_regression,1.0,32.0,32,wet_probability,0.5,0.5351327066848763,0.027391700074076653,0.7030191004313001,0.6311882560698868,0.6176211238415517,0.8346456692913385,0.38958333333333334,0.7650360866078588,0.4973404255319149,0.6796652391270965,0.37687666858084123,954,293,189,187,0.6703635243376463,0.6405884761726015,0.6078515056057989,0.84765625,0.3672787979966611,0.6960705693664796,0.5851063829787234,0.6796652391270965,0.37687666858084123,868,379,156,220
logistic_regression__C0.01__pca32,logistic_regression,0.01,32.0,32,wet_probability,0.5,0.5432017168719363,0.02663319930434227,0.7036352433764633,0.6306603934549302,0.6175524647161097,0.8342059336823735,0.389937106918239,0.7666399358460305,0.4946808510638298,0.6800875292190619,0.3770321211155371,956,291,190,186,0.6617375231053605,0.6414767783104984,0.6039402968090823,0.8504016064257028,0.3620414673046252,0.6792301523656776,0.6037234042553191,0.6800875292190619,0.3770321211155371,847,400,149,227
logistic_regression__C0.01__pca64,logistic_regression,0.01,64.0,64,wet_probability,0.5,0.6413025169941251,0.05184150114655495,0.7504621072088724,0.6091193332082103,0.6170307597742904,0.815592203898051,0.44982698961937717,0.8724939855653568,0.34574468085106386,0.6753975498643553,0.37633266307397306,1088,159,246,130,0.6660505237215034,0.6368529150813016,0.603875389520327,0.845927379784102,0.36258278145695366,0.6912590216519647,0.5824468085106383,0.6753975498643553,0.37633266307397306,862,385,157,219
logistic_regression__C0.1__pca64,logistic_regression,0.1,64.0,64,wet_probability,0.5,0.5365101626557154,0.05643179826438427,0.6993222427603204,0.6269248323636302,0.6134401611788547,0.8326029798422436,0.38381742738589214,0.7618283881315157,0.4920212765957447,0.6723412786432118,0.3735225319897324,950,297,191,185,0.6691312384473198,0.6286406524595198,0.6011626241460277,0.8393881453154876,0.36048526863084923,0.7040898155573376,0.5531914893617021,0.6723412786432118,0.3735225319897324,878,369,168,208
