candidate,family,n_estimators,max_depth,min_samples_leaf,threshold,n_samples,n_no_cough,n_cough,accuracy,balanced_accuracy,precision_cough,recall_cough,specificity_no_cough,f1_cough,macro_f1,roc_auc,tn_no_cough_correct,fp_no_cough_as_cough,fn_cough_as_no_cough,tp_cough_correct,cv_fit_seconds,mean_tree_nodes_cv,selected
rf__trees50__depth12__leaf5,rf,50,12,5,0.5,7636,5806,1830,0.9807490832896805,0.9751787768071092,0.9556036816459123,0.9644808743169399,0.9858766792972786,0.9600217568670112,0.9736719392355755,0.9972460183454462,5724,82,65,1765,1.5616671000170754,8880.0,False
rf__trees75__depth6__leaf2,rf,75,6,2,0.5,7636,5806,1830,0.9740701938187533,0.9739675745271992,0.922360248447205,0.9737704918032787,0.9741646572511196,0.9473684210526315,0.9650829941926928,0.9966342054290924,5656,150,48,1782,1.7934835999913048,7032.2,False
rf__trees75__depth6__leaf5,rf,75,6,5,0.5,7636,5806,1830,0.9751178627553693,0.9746565170005026,0.9261954261954262,0.9737704918032787,0.9755425421977265,0.9493873201917954,0.9664457003806693,0.9966113818567188,5664,142,48,1782,1.8158726000110619,6713.0,False
rf__trees75__depth8__leaf2,rf,75,8,2,0.5,7636,5806,1830,0.9795704557359874,0.9753392476974074,0.9485530546623794,0.9672131147540983,0.9834653806407165,0.9577922077922078,0.9721580251124136,0.9971909594182765,5710,96,60,1770,2.12116789999709,12150.2,False
rf__trees75__depth8__leaf5,rf,75,8,5,0.5,7636,5806,1830,0.9781299109481404,0.9742048455620622,0.9434666666666667,0.9666666666666667,0.9817430244574578,0.9549257759784076,0.970244075851225,0.9971079474973129,5700,106,61,1769,2.1095180999982404,10548.6,False
rf__trees75__depth10__leaf2,rf,75,10,2,0.5,7636,5806,1830,0.9807490832896805,0.9733077144615802,0.9605911330049262,0.9590163934426229,0.9875990354805374,0.9598031173092699,0.9735735345478764,0.9972604183725522,5734,72,75,1755,2.1871153000101913,14906.2,False
rf__trees75__depth10__leaf5,rf,75,10,5,0.5,7636,5806,1830,0.9791775798847564,0.9732098319243895,0.9518658734451054,0.9617486338797814,0.9846710299689976,0.9567817341668932,0.9715332806088499,0.9971934064817063,5717,89,70,1760,2.1886693999840645,12312.2,False
rf__trees75__depth12__leaf2,rf,75,12,2,0.5,7636,5806,1830,0.9795704557359874,0.9706615918335846,0.9609030837004405,0.953551912568306,0.9877712710988632,0.9572133845309929,0.9718975919730485,0.9971482299260799,5735,71,85,1745,2.3567653999925824,16216.2,False
rf__trees75__depth12__leaf5,rf,75,12,5,0.5,7636,5806,1830,0.9798323729701415,0.9736404209702041,0.9544468546637744,0.9617486338797814,0.9855322080606269,0.9580838323353293,0.9724028404649573,0.9972836654751349,5722,84,70,1760,2.34469060000265,13257.8,False
rf__trees100__depth6__leaf2,rf,100,6,2,0.5,7636,5806,1830,0.9743321110529073,0.974139810145525,0.9233160621761658,0.9737704918032787,0.9745091284877713,0.9478723404255319,0.9654233140626618,0.9966197112841625,5658,148,48,1782,2.5847286000062013,9398.4,False
rf__trees100__depth6__leaf5,rf,100,6,5,0.5,7636,5806,1830,0.9742011524358303,0.9740536923363621,0.9228379078197825,0.9737704918032787,0.9743368928694454,0.947620313746344,0.9652531244693843,0.9967664880310362,5657,149,48,1782,2.6024307000043336,8971.2,False
rf__trees100__depth8__leaf2,rf,100,8,2,0.5,7636,5806,1830,0.9793085385018334,0.9753541183136345,0.9470588235294117,0.9677595628415301,0.9829486737857389,0.9572972972972973,0.9718218252819013,0.9972943949070964,5707,99,59,1771,2.7903894999762997,16231.6,False
rf__trees100__depth8__leaf5,rf,100,8,5,0.5,7636,5806,1830,0.9779989523310634,0.9739316215183464,0.9434364994663821,0.966120218579235,0.9817430244574578,0.9546436285097192,0.9700604034664779,0.9971519005212246,5700,106,62,1768,2.9167416999844136,14130.4,False
rf__trees100__depth10__leaf2,rf,100,10,2,0.5,7636,5806,1830,0.9799633315872185,0.9727910076066025,0.9574468085106383,0.9590163934426229,0.9865656217705822,0.9582309582309583,0.9725257642390901,0.9974472422536325,5728,78,75,1755,3.101572399988072,19939.2,False
rf__trees100__depth10__leaf5,rf,100,10,5,0.5,7636,5806,1830,0.9795704557359874,0.97421661029009,0.9514563106796117,0.9639344262295082,0.9844987943506717,0.9576547231270358,0.9720962604244086,0.997294677260569,5716,90,66,1764,3.0078724999766564,16458.4,False
rf__trees100__depth12__leaf2,rf,100,12,2,0.5,7636,5806,1830,0.9802252488213724,0.9712792871139522,0.9630446773303916,0.9540983606557377,0.9884602135721667,0.9585506450727422,0.9727829328210044,0.9972541124783293,5739,67,84,1746,3.4100512999866623,21692.4,False
rf__trees100__depth12__leaf5,rf,100,12,5,0.5,7636,5806,1830,0.9804871660555264,0.9742581162505718,0.9565453557848995,0.9622950819672131,0.9862211505339304,0.9594116044674476,0.973283942049257,0.9973564185532584,5726,80,69,1761,3.295371399988653,17752.8,False
