fold_excluded,gold_multiplier,wet_cost,class_name,consensus_group,recording_count,weight_sum,weight_mean
2,1.5,1.0,wet,weak_1_vote,294,629.1696869851731,2.1400329489291603
2,1.5,1.0,wet,weak_4_eval_2_1_1,2,4.28006589785832,2.14003294892916
2,1.5,1.3,dry,gold_3_of_4,22,18.263425856890272,0.8301557207677397
2,1.5,1.3,dry,gold_4_of_4,23,19.09358157765801,0.8301557207677396
2,1.5,1.3,dry,weak_1_vote,949,525.21185267239,0.5534371471784931
2,1.5,1.3,dry,weak_4_eval_2_1_1,4,2.2137485887139725,0.5534371471784931
2,1.5,1.3,wet,gold_3_of_4,3,10.886254566291813,3.628751522097271
2,1.5,1.3,wet,gold_4_of_4,2,7.257503044194542,3.628751522097271
2,1.5,1.3,wet,weak_1_vote,294,711.2352983310652,2.419167681398181
2,1.5,1.3,wet,weak_4_eval_2_1_1,2,4.838335362796362,2.419167681398181
3,1.0,1.0,dry,gold_3_of_4,22,14.320962888666003,0.6509528585757274
3,1.0,1.0,dry,gold_4_of_4,22,14.320962888666003,0.6509528585757274
3,1.0,1.0,dry,weak_1_vote,949,617.7542627883652,0.6509528585757273
3,1.0,1.0,dry,weak_4_eval_2_1_1,4,2.6038114343029086,0.6509528585757272
3,1.0,1.0,wet,gold_3_of_4,2,4.312292358803987,2.1561461794019934
3,1.0,1.0,wet,gold_4_of_4,3,6.46843853820598,2.1561461794019934
3,1.0,1.0,wet,weak_1_vote,293,631.750830564784,2.1561461794019934
3,1.0,1.0,wet,weak_4_eval_2_1_1,3,6.46843853820598,2.1561461794019934
3,1.0,1.3,dry,gold_3_of_4,22,12.453011207535656,0.5660459639788935
3,1.0,1.3,dry,gold_4_of_4,22,12.453011207535656,0.5660459639788935
3,1.0,1.3,dry,weak_1_vote,949,537.1776198159696,0.5660459639788932
3,1.0,1.3,dry,weak_4_eval_2_1_1,4,2.264183855915573,0.5660459639788933
3,1.0,1.3,wet,gold_3_of_4,2,4.874765275169725,2.4373826375848626
3,1.0,1.3,wet,gold_4_of_4,3,7.312147912754588,2.4373826375848626
3,1.0,1.3,wet,weak_1_vote,293,714.1531128123647,2.4373826375848626
3,1.0,1.3,wet,weak_4_eval_2_1_1,3,7.312147912754588,2.4373826375848626
3,1.5,1.0,dry,gold_3_of_4,22,21.017664376840045,0.9553483807654566
3,1.5,1.0,dry,gold_4_of_4,22,21.017664376840045,0.9553483807654566
3,1.5,1.0,dry,weak_1_vote,949,604.4170755642785,0.6368989205103041
3,1.5,1.0,dry,weak_4_eval_2_1_1,4,2.5475956820412167,0.6368989205103042
3,1.5,1.0,wet,gold_3_of_4,2,6.415156507413509,3.2075782537067545
3,1.5,1.0,wet,gold_4_of_4,3,9.622734761120263,3.2075782537067545
3,1.5,1.0,wet,weak_1_vote,293,626.5469522240528,2.13838550247117
3,1.5,1.0,wet,weak_4_eval_2_1_1,3,6.415156507413508,2.1383855024711695
3,1.5,1.3,dry,gold_3_of_4,22,18.276229892904386,0.8307377224047449
3,1.5,1.3,dry,gold_4_of_4,22,18.276229892904386,0.8307377224047449
3,1.5,1.3,dry,weak_1_vote,949,525.5800657080686,0.5538251482698299
3,1.5,1.3,dry,weak_4_eval_2_1_1,4,2.2153005930793195,0.5538251482698299
3,1.5,1.3,wet,gold_3_of_4,2,7.251916051858751,3.6259580259293753
