candidate_key,C,pca_components,pca_whiten,gold_multiplier,wet_cost,dataset,subgroup,recording_count,dry_count,wet_count,threshold,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
logistic_regression__C0.001__pca128__no_whiten__gold1p5__wetcost1,0.001,128,False,1.5,1.0,train_oof,all,1623,1247,376,0.5430145034265761,0.6956253850893407,0.644953206845365,0.6223277171271051,0.845096241979835,0.3890977443609023,0.739374498797113,0.550531914893617,0.68427630568684,0.38077595505242806,922,325,169,207
logistic_regression__C0.001__pca128__no_whiten__gold1p5__wetcost1,0.001,128,False,1.5,1.0,train_oof,weak_all,1561,1191,370,0.5430145034265761,0.6925048046124279,0.6429221412848616,0.621785112887008,0.8401913875598086,0.39341085271317827,0.7371956339210747,0.5486486486486486,0.6801892572673429,0.3810837811005223,878,313,167,203
logistic_regression__C0.001__pca128__no_whiten__gold1p5__wetcost1,0.001,128,False,1.5,1.0,train_oof,gold_all,62,56,6,0.5430145034265761,0.7741935483870968,0.7261904761904762,0.6131907308377897,0.9565217391304348,0.25,0.7857142857142857,0.6666666666666666,0.8482142857142857,0.5906862745098038,44,12,2,4
logistic_regression__C0.001__pca128__no_whiten__gold1p5__wetcost1,0.001,128,False,1.5,1.0,train_oof,gold_3_of_4,31,28,3,0.5430145034265761,0.8064516129032258,0.5952380952380952,0.5694444444444444,0.9230769230769231,0.2,0.8571428571428571,0.3333333333333333,0.7738095238095237,0.5,24,4,2,1
logistic_regression__C0.001__pca128__no_whiten__gold1p5__wetcost1,0.001,128,False,1.5,1.0,train_oof,gold_4_of_4,31,28,3,0.5430145034265761,0.7419354838709677,0.8571428571428572,0.6309523809523809,1.0,0.2727272727272727,0.7142857142857143,1.0,0.9404761904761905,0.7916666666666666,20,8,0,3
logistic_regression__C0.001__pca128__no_whiten__gold1p5__wetcost1p3,0.001,128,False,1.5,1.3,train_oof,all,1623,1247,376,0.5539408684544631,0.6900800985828712,0.6459886706819772,0.6202427952010338,0.8470149253731343,0.38475499092558985,0.7281475541299118,0.5638297872340425,0.6840694261973417,0.3807073340331686,908,339,164,212
logistic_regression__C0.001__pca128__no_whiten__gold1p5__wetcost1p3,0.001,128,False,1.5,1.3,train_oof,weak_all,1561,1191,370,0.5539408684544631,0.6860986547085202,0.6424501327523997,0.6185224271248115,0.8412852969814996,0.38764044943820225,0.72544080604534,0.5594594594594594,0.6800939478521343,0.38111954979366336,864,327,163,207
logistic_regression__C0.001__pca128__no_whiten__gold1p5__wetcost1p3,0.001,128,False,1.5,1.3,train_oof,gold_all,62,56,6,0.5539408684544631,0.7903225806451613,0.8095238095238095,0.6530348687042618,0.9777777777777777,0.29411764705882354,0.7857142857142857,0.8333333333333334,0.8422619047619048,0.5892242862057103,44,12,1,5
logistic_regression__C0.001__pca128__no_whiten__gold1p5__wetcost1p3,0.001,128,False,1.5,1.3,train_oof,gold_3_of_4,31,28,3,0.5539408684544631,0.8387096774193549,0.7619047619047619,0.6750524109014675,0.96,0.3333333333333333,0.8571428571428571,0.6666666666666666,0.7619047619047619,0.49707602339181284,24,4,1,2
logistic_regression__C0.001__pca128__no_whiten__gold1p5__wetcost1p3,0.001,128,False,1.5,1.3,train_oof,gold_4_of_4,31,28,3,0.5539408684544631,0.7419354838709677,0.8571428571428572,0.6309523809523809,1.0,0.2727272727272727,0.7142857142857143,1.0,0.9404761904761905,0.7916666666666666,20,8,0,3
logistic_regression__C0.001__pca256__no_whiten__gold1__wetcost1,0.001,256,False,1.0,1.0,train_oof,all,1623,1247,376,0.5320668628950002,0.6845348120764018,0.6405223600470917,0.6146909463204009,0.8444236176194939,0.3776978417266187,0.7225340817963112,0.5585106382978723,0.6816337934446929,0.37888695029193814,901,346,166,210
logistic_regression__C0.001__pca256__no_whiten__gold1__wetcost1,0.001,256,False,1.0,1.0,train_oof,weak_all,1561,1191,370,0.5320668628950002,0.6822549647661755,0.6389997049946672,0.6148577932181671,0.8396871945259042,0.3828996282527881,0.7212426532325776,0.5567567567567567,0.6775864025234304,0.3797233861777993,859,332,164,206
logistic_regression__C0.001__pca256__no_whiten__gold1__wetcost1,0.001,256,False,1.0,1.0,train_oof,gold_all,62,56,6,0.5320668628950002,0.7419354838709677,0.7083333333333333,0.5866666666666667,0.9545454545454546,0.2222222222222222,0.75,0.6666666666666666,0.8392857142857143,0.5057644110275689,42,14,2,4
logistic_regression__C0.001__pca256__no_whiten__gold1__wetcost1,0.001,256,False,1.0,1.0,train_oof,gold_3_of_4,31,28,3,0.5320668628950002,0.7741935483870968,0.5773809523809523,0.5450733752620545,0.92,0.16666666666666666,0.8214285714285714,0.3333333333333333,0.7619047619047619,0.4841269841269841,23,5,2,1
logistic_regression__C0.001__pca256__no_whiten__gold1__wetcost1,0.001,256,False,1.0,1.0,train_oof,gold_4_of_4,31,28,3,0.5320668628950002,0.7096774193548387,0.8392857142857143,0.6042553191489362,1.0,0.25,0.6785714285714286,1.0,0.9285714285714285,0.6805555555555556,19,9,0,3
logistic_regression__C0.001__pca256__no_whiten__gold1__wetcost1p3,0.001,256,False,1.0,1.3,train_oof,all,1623,1247,376,0.5462262770694547,0.6796056685150955,0.6382434864952482,0.6111442852087756,0.8438978240302744,0.37279151943462896,0.7153167602245389,0.5611702127659575,0.6809598355201418,0.378196961348905,892,355,165,211
logistic_regression__C0.001__pca256__no_whiten__gold1__wetcost1p3,0.001,256,False,1.0,1.3,train_oof,weak_all,1561,1191,370,0.5462262770694547,0.6764894298526586,0.635221367463181,0.6101331117688806,0.8382642998027613,0.376599634369287,0.7136859781696053,0.5567567567567567,0.6770485851090385,0.37904751231376266,850,341,164,206
logistic_regression__C0.001__pca256__no_whiten__gold1__wetcost1p3,0.001,256,False,1.0,1.3,train_oof,gold_all,62,56,6,0.5462262770694547,0.7580645161290323,0.7916666666666667,0.6242424242424243,0.9767441860465116,0.2631578947368421,0.75,0.8333333333333334,0.8392857142857143,0.503927553927554,42,14,1,5
logistic_regression__C0.001__pca256__no_whiten__gold1__wetcost1p3,0.001,256,False,1.0,1.3,train_oof,gold_3_of_4,31,28,3,0.5462262770694547,0.8064516129032258,0.7440476190476191,0.6423076923076922,0.9583333333333334,0.2857142857142857,0.8214285714285714,0.6666666666666666,0.7738095238095237,0.5,23,5,1,2
logistic_regression__C0.001__pca256__no_whiten__gold1__wetcost1p3,0.001,256,False,1.0,1.3,train_oof,gold_4_of_4,31,28,3,0.5462262770694547,0.7096774193548387,0.8392857142857143,0.6042553191489362,1.0,0.25,0.6785714285714286,1.0,0.9285714285714285,0.6805555555555556,19,9,0,3
logistic_regression__C0.001__pca256__no_whiten__gold1p5__wetcost1,0.001,256,False,1.5,1.0,train_oof,all,1623,1247,376,0.5355973014702271,0.6869993838570548,0.6411973843607637,0.6162191852238028,0.8443616029822927,0.38,0.7265437048917401,0.5558510638297872,0.6828324148168371,0.37975511721633015,906,341,167,209
logistic_regression__C0.001__pca256__no_whiten__gold1p5__wetcost1,0.001,256,False,1.5,1.0,train_oof,weak_all,1561,1191,370,0.5355973014702271,0.6841768097373478,0.6393276147684208,0.6159349661660571,0.8394941634241245,0.38461538461538464,0.7246011754827876,0.5540540540540541,0.6787028842444459,0.38043025917858364,863,328,165,205
logistic_regression__C0.001__pca256__no_whiten__gold1p5__wetcost1,0.001,256,False,1.5,1.0,train_oof,gold_all,62,56,6,0.5355973014702271,0.7580645161290323,0.7172619047619048,0.5996556177356867,0.9555555555555556,0.23529411764705882,0.7678571428571429,0.6666666666666666,0.8422619047619048,0.5307644110275689,43,13,2,4
logistic_regression__C0.001__pca256__no_whiten__gold1p5__wetcost1,0.001,256,False,1.5,1.0,train_oof,gold_3_of_4,31,28,3,0.5355973014702271,0.8064516129032258,0.5952380952380952,0.5694444444444444,0.9230769230769231,0.2,0.8571428571428571,0.3333333333333333,0.7619047619047619,0.4841269841269841,24,4,2,1
