candidate_key,C,pca_components,pca_whiten,gold_multiplier,wet_cost,dataset,subgroup,recording_count,dry_count,wet_count,threshold,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
logistic_regression__C0.0003__pca64__no_whiten__gold1__wetcost1p15,0.0003,64,False,1.0,1.15,train_oof,weak_all,1561,1191,370,0.5204572687540152,0.6758488148622678,0.652500737513332,0.6185504777137736,0.8512820512820513,0.3839590443686007,0.6968933669185559,0.6081081081081081,0.6771121247191777,0.379684467348413,830,361,145,225
logistic_regression__C0.0003__pca64__no_whiten__gold1__wetcost1p15,0.0003,64,False,1.0,1.15,train_oof,gold_all,62,56,6,0.5204572687540152,0.7903225806451613,0.8095238095238095,0.6530348687042618,0.9777777777777777,0.29411764705882354,0.7857142857142857,0.8333333333333334,0.8333333333333333,0.5846476271668087,44,12,1,5
logistic_regression__C0.0003__pca64__no_whiten__gold1__wetcost1p15,0.0003,64,False,1.0,1.15,train_oof,gold_3_of_4,31,28,3,0.5204572687540152,0.8387096774193549,0.7619047619047619,0.6750524109014675,0.96,0.3333333333333333,0.8571428571428571,0.6666666666666666,0.7142857142857142,0.4879227053140096,24,4,1,2
logistic_regression__C0.0003__pca64__no_whiten__gold1__wetcost1p15,0.0003,64,False,1.0,1.15,train_oof,gold_4_of_4,31,28,3,0.5204572687540152,0.7419354838709677,0.8571428571428572,0.6309523809523809,1.0,0.2727272727272727,0.7142857142857143,1.0,1.0,1.0,20,8,0,3
logistic_regression__C0.0003__pca64__no_whiten__gold1__wetcost1p3,0.0003,64,False,1.0,1.3,train_oof,all,1623,1247,376,0.5259696858176064,0.6826863832409119,0.657895971608456,0.6225112624055821,0.857421875,0.38397328881469117,0.7040898155573376,0.6117021276595744,0.6814759678547664,0.3799231102587008,878,369,146,230
logistic_regression__C0.0003__pca64__no_whiten__gold1__wetcost1p3,0.0003,64,False,1.0,1.3,train_oof,weak_all,1561,1191,370,0.5259696858176064,0.6784112748238309,0.6541799986384369,0.6206763350501491,0.8518896833503575,0.3865979381443299,0.7002518891687658,0.6081081081081081,0.6773821680622689,0.37959307148468,834,357,145,225
logistic_regression__C0.0003__pca64__no_whiten__gold1__wetcost1p3,0.0003,64,False,1.0,1.3,train_oof,gold_all,62,56,6,0.5259696858176064,0.7903225806451613,0.8095238095238095,0.6530348687042618,0.9777777777777777,0.29411764705882354,0.7857142857142857,0.8333333333333334,0.8333333333333333,0.5846476271668087,44,12,1,5
logistic_regression__C0.0003__pca64__no_whiten__gold1__wetcost1p3,0.0003,64,False,1.0,1.3,train_oof,gold_3_of_4,31,28,3,0.5259696858176064,0.8387096774193549,0.7619047619047619,0.6750524109014675,0.96,0.3333333333333333,0.8571428571428571,0.6666666666666666,0.7142857142857142,0.4879227053140096,24,4,1,2
logistic_regression__C0.0003__pca64__no_whiten__gold1__wetcost1p3,0.0003,64,False,1.0,1.3,train_oof,gold_4_of_4,31,28,3,0.5259696858176064,0.7419354838709677,0.8571428571428572,0.6309523809523809,1.0,0.2727272727272727,0.7142857142857143,1.0,1.0,1.0,20,8,0,3
logistic_regression__C0.0003__pca64__no_whiten__gold1__wetcost1p5,0.0003,64,False,1.0,1.5,train_oof,all,1623,1247,376,0.5317242470662318,0.685150955021565,0.6567133460731287,0.6232208853039186,0.8558994197292069,0.3853989813242784,0.7097032878909383,0.6037234042553191,0.6815207561978536,0.3799166923646914,885,362,149,227
logistic_regression__C0.0003__pca64__no_whiten__gold1__wetcost1p5,0.0003,64,False,1.0,1.5,train_oof,weak_all,1561,1191,370,0.5317242470662318,0.680973734785394,0.6530646515533165,0.6214486063226787,0.8503538928210314,0.3881118881118881,0.7061293031066331,0.6,0.677459323303152,0.37971592646672436,841,350,148,222
logistic_regression__C0.0003__pca64__no_whiten__gold1__wetcost1p5,0.0003,64,False,1.0,1.5,train_oof,gold_all,62,56,6,0.5317242470662318,0.7903225806451613,0.8095238095238095,0.6530348687042618,0.9777777777777777,0.29411764705882354,0.7857142857142857,0.8333333333333334,0.8333333333333333,0.5846476271668087,44,12,1,5
logistic_regression__C0.0003__pca64__no_whiten__gold1__wetcost1p5,0.0003,64,False,1.0,1.5,train_oof,gold_3_of_4,31,28,3,0.5317242470662318,0.8387096774193549,0.7619047619047619,0.6750524109014675,0.96,0.3333333333333333,0.8571428571428571,0.6666666666666666,0.7142857142857142,0.4879227053140096,24,4,1,2
logistic_regression__C0.0003__pca64__no_whiten__gold1__wetcost1p5,0.0003,64,False,1.0,1.5,train_oof,gold_4_of_4,31,28,3,0.5317242470662318,0.7419354838709677,0.8571428571428572,0.6309523809523809,1.0,0.2727272727272727,0.7142857142857143,1.0,1.0,1.0,20,8,0,3
logistic_regression__C0.0003__pca64__no_whiten__gold1p5__wetcost1,0.0003,64,False,1.5,1.0,train_oof,all,1623,1247,376,0.5277314254632679,0.6863832409118915,0.6491558463717176,0.6200837455074744,0.8500948766603416,0.38312829525483305,0.7185244587008821,0.5797872340425532,0.6799638280810114,0.37974613268787105,896,351,158,218
logistic_regression__C0.0003__pca64__no_whiten__gold1p5__wetcost1,0.0003,64,False,1.5,1.0,train_oof,weak_all,1561,1191,370,0.5277314254632679,0.6822549647661755,0.6455204574851929,0.6182922500493,0.844400396432111,0.3858695652173913,0.7153652392947103,0.5756756756756757,0.6756030589783738,0.3794396013213225,852,339,157,213
logistic_regression__C0.0003__pca64__no_whiten__gold1p5__wetcost1,0.0003,64,False,1.5,1.0,train_oof,gold_all,62,56,6,0.5277314254632679,0.7903225806451613,0.8095238095238095,0.6530348687042618,0.9777777777777777,0.29411764705882354,0.7857142857142857,0.8333333333333334,0.8392857142857142,0.5856357694592988,44,12,1,5
logistic_regression__C0.0003__pca64__no_whiten__gold1p5__wetcost1,0.0003,64,False,1.5,1.0,train_oof,gold_3_of_4,31,28,3,0.5277314254632679,0.8387096774193549,0.7619047619047619,0.6750524109014675,0.96,0.3333333333333333,0.8571428571428571,0.6666666666666666,0.7142857142857142,0.4879227053140096,24,4,1,2
logistic_regression__C0.0003__pca64__no_whiten__gold1p5__wetcost1,0.0003,64,False,1.5,1.0,train_oof,gold_4_of_4,31,28,3,0.5277314254632679,0.7419354838709677,0.8571428571428572,0.6309523809523809,1.0,0.2727272727272727,0.7142857142857143,1.0,1.0,1.0,20,8,0,3
