n_components,explained_variance_ratio,cumulative_explained_variance_ratio
274,0.00010301227294557517,0.9826179085507629
275,0.00010209901430032945,0.9827200075650633
276,0.00010151306690685983,0.9828215206319701
277,0.00010024983790126672,0.9829217704698714
278,9.95789870478103e-05,0.9830213494569192
279,9.916139837944085e-05,0.9831205108552986
280,9.824974560645082e-05,0.9832187606009051
281,9.755287617104689e-05,0.9833163134770762
282,9.7178293298431e-05,0.9834134917703746
283,9.669248227228367e-05,0.9835101842526469
284,9.592478807312016e-05,0.98360610904072
285,9.555191510132145e-05,0.9837016609558213
286,9.454389312166727e-05,0.983796204848943
287,9.407451370836116e-05,0.9838902793626514
288,9.322912124431476e-05,0.9839835084838957
289,9.259042525367656e-05,0.9840760989091494
290,9.165473666965414e-05,0.984167753645819
291,9.129761457459532e-05,0.9842590512603936
292,9.063520784776267e-05,0.9843496864682414
293,9.015434097739453e-05,0.9844398408092188
294,8.98647866946051e-05,0.9845297055959134
295,8.905248851244377e-05,0.9846187580844258
296,8.833765297867698e-05,0.9847070957374044
297,8.791370928883129e-05,0.9847950094466933
298,8.706289635833113e-05,0.9848820723430516
299,8.665018556256117e-05,0.9849687225286141
300,8.583972359705662e-05,0.9850545622522112
301,8.543775997009338e-05,0.9851400000121813
302,8.503245280429568e-05,0.9852250324649856
303,8.477911349587135e-05,0.9853098115784815
304,8.414869009246968e-05,0.985393960268574
305,8.298950012738622e-05,0.9854769497687014
306,8.269804010537951e-05,0.9855596478088068
307,8.242842610508746e-05,0.9856420762349118
308,8.198848474742224e-05,0.9857240647196592
309,8.162797822437293e-05,0.9858056926978837
310,8.049398336982915e-05,0.9858861866812535
311,8.014421756621428e-05,0.9859663308988197
312,7.990297768665017e-05,0.9860462338765064
313,7.920547538709918e-05,0.9861254393518935
314,7.899894730017373e-05,0.9862044382991936
315,7.775232699207385e-05,0.9862821906261856
316,7.733563678970142e-05,0.9863595262629753
317,7.720635024910559e-05,0.9864367326132244
318,7.645592805769155e-05,0.9865131885412821
319,7.596498514971771e-05,0.9865891535264318
320,7.530351550239303e-05,0.9866644570419343
321,7.471781856102193e-05,0.9867391748604953
322,7.444670592237517e-05,0.9868136215664177
323,7.416093656623867e-05,0.9868877825029839
324,7.412857539923475e-05,0.9869619110783832
325,7.337347419742921e-05,0.9870352845525806
326,7.264473230458742e-05,0.9871079292848852
327,7.221598628971982e-05,0.9871801452711749
328,7.154846005350849e-05,0.9872516937312285
329,7.11411412939416e-05,0.9873228348725224
330,7.057764764121156e-05,0.9873934125201635
331,6.988950371395003e-05,0.9874633020238776
332,6.980520175039345e-05,0.9875331072256279
333,6.930772529365918e-05,0.9876024149509216
334,6.86210819427736e-05,0.9876710360328643
