candidate_key,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_lambda,gamma,theoretical_max_nodes,threshold_oof,elapsed_seconds_total_search,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
xgb__trees50__depth3__lr0p05__child15__sub1__col0p6__lambda5__gamma0,50,3,0.05,15,1.0,0.6,5.0,0.0,750,0.5127323418855667,61.551741698756814,0.6685150955021565,0.566937245133,0.5617757943677579,0.8011894647408666,0.3183856502242152,0.756214915797915,0.3776595744680851,0.5980566124656623,0.2869324111248912,943,304,234,142
xgb__trees75__depth2__lr0p03__child10__sub0p85__col0p6__lambda10__gamma0p3,75,2,0.03,10,0.85,0.6,10.0,0.3,525,0.5198981414238613,61.551741698756814,0.6993222427603204,0.5591206128751557,0.5610129209049067,0.7948717948717948,0.3333333333333333,0.8203688853247795,0.2978723404255319,0.5931597536214575,0.29055497426354376,1023,224,264,112
xgb__trees200__depth2__lr0p08__child5__sub0p7__col0p8__lambda5__gamma0p3,200,2,0.08,5,0.7,0.8,5.0,0.3,1400,0.5199272980292637,61.551741698756814,0.6771410967344423,0.5632624682216042,0.5609219661893414,0.7985136251032204,0.32038834951456313,0.7754611066559743,0.35106382978723405,0.6050649217696941,0.2978490752529511,967,280,244,132
xgb__trees50__depth2__lr0p05__child5__sub1__col0p6__lambda1__gamma0p1,50,2,0.05,5,1.0,0.6,1.0,0.1,350,0.5110894590616226,61.551741698756814,0.66728280961183,0.5661353205139142,0.5608519798289145,0.8008510638297872,0.3169642857142857,0.7546110665597434,0.3776595744680851,0.5924090156801856,0.28160211462270796,941,306,234,142
xgb__trees75__depth3__lr0p1__child15__sub0p85__col0p6__lambda1__gamma0p3,75,3,0.1,15,0.85,0.6,1.0,0.3,1125,0.4995845854282379,61.551741698756814,0.6414048059149723,0.5771596512481019,0.5603141059060103,0.809878844361603,0.31272727272727274,0.6968724939855654,0.4574468085106383,0.6099063283796005,0.3018125940461612,869,378,204,172
xgb__trees50__depth2__lr0p05__child15__sub0p7__col1__lambda1__gamma0p1,50,2,0.05,15,0.7,1.0,1.0,0.1,350,0.5195443481206894,61.551741698756814,0.6857670979667283,0.560516516234708,0.5602887741441959,0.7964601769911505,0.3236842105263158,0.7939053728949479,0.3271276595744681,0.6024010817451245,0.29052823749562257,990,257,253,123
xgb__trees200__depth3__lr0p1__child3__sub0p7__col0p8__lambda10__gamma0,200,3,0.1,3,0.7,0.8,10.0,0.0,3000,0.47522370517253876,61.551741698756814,0.6487985212569316,0.5726829497176201,0.56003458430352,0.8063348416289593,0.3127413127413127,0.714514835605453,0.4308510638297872,0.5939062260062448,0.29245312241659793,891,356,214,162
xgb__trees50__depth2__lr0p05__child10__sub1__col1__lambda1__gamma0p3,50,2,0.05,10,1.0,1.0,1.0,0.3,350,0.5163887113332748,61.551741698756814,0.678373382624769,0.5603490931426914,0.5587707749163587,0.7968877968877969,0.31840796019900497,0.7802726543704892,0.3404255319148936,0.5851724991042332,0.27644343539656624,973,274,248,128
xgb__trees150__depth4__lr0p03__child15__sub0p8__col0p7__lambda10__gamma0p3,150,4,0.03,15,0.8,0.7,10.0,0.3,4650,0.507488804558913,61.551741698756814,0.6611213801601972,0.5649121721919842,0.5583214582591141,0.8006902502157032,0.3125,0.7441860465116279,0.38563829787234044,0.6037831220461022,0.30405808615421265,928,319,231,145
xgb__trees100__depth2__lr0p08__child5__sub1__col1__lambda10__gamma0p3,100,2,0.08,5,1.0,1.0,10.0,0.3,700,0.5182464979588985,61.551741698756814,0.6759088108441158,0.5587452439045197,0.5569458514631149,0.7962202136400987,0.31527093596059114,0.7770649558941459,0.3404255319148936,0.5969646300056305,0.28753065406073697,969,278,248,128
xgb__trees50__depth4__lr0p05__child10__sub0p85__col0p6__lambda1__gamma0p3,50,4,0.05,10,0.85,0.6,1.0,0.3,1550,0.5048217661678791,61.551741698756814,0.6574245224892175,0.5597199235612278,0.5535031468946681,0.7981018119068162,0.30603448275862066,0.7417802726543705,0.3776595744680851,0.5959280997798972,0.2905932129455453,925,322,234,142
