experiment,candidate_key,model_name,C,pca_components,score_type,threshold_oof,elapsed_seconds_total_run,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
raw_pca_event,logistic_regression__C0.01__pca32,logistic_regression,0.01,32,wet_probability,0.5345270729263856,7.7716083992272615,0.66728280961183,0.5540605964954188,0.5513600176912871,0.794338051623647,0.3056872037914692,0.7650360866078588,0.34308510638297873,0.5916625432953982,0.2784104095805676,954,293,247,129
raw_pca_event,linear_svm__C0.1__pca32,linear_svm,0.1,32,wet_decision_score,0.07560567196021922,27.377615300938487,0.6580406654343808,0.5564055861727721,0.5511581496513218,0.7962328767123288,0.3032967032967033,0.7457898957497995,0.3670212765957447,0.5920144517053696,0.2791481080689234,930,317,238,138
raw_pca_event,linear_svm__C0.01__pca32,linear_svm,0.01,32,wet_decision_score,0.07367181395166124,24.370603799819946,0.6580406654343808,0.5564055861727721,0.5511581496513218,0.7962328767123288,0.3032967032967033,0.7457898957497995,0.3670212765957447,0.5919568666928288,0.27909791091064584,930,317,238,138
raw_pca_event,logistic_regression__C0.1__pca32,logistic_regression,0.1,32,wet_probability,0.541061455381185,10.821770399808884,0.6660505237215034,0.553258671876333,0.5504568683565004,0.7939949958298582,0.30424528301886794,0.7634322373696872,0.34308510638297873,0.591643348291218,0.27856672474177685,952,295,247,129
raw_pca_event,logistic_regression__C10__pca32,logistic_regression,10.0,32,wet_probability,0.54184062169368,17.613250099122524,0.6654343807763401,0.5528577095667901,0.5500057443533006,0.7938230383973289,0.3035294117647059,0.7626303127506014,0.34308510638297873,0.5915942943916463,0.27849846901290154,951,296,247,129
raw_pca_event,logistic_regression__C1__pca32,logistic_regression,1.0,32,wet_probability,0.5417536527714089,13.978073900565505,0.6654343807763401,0.5528577095667901,0.5500057443533006,0.7938230383973289,0.3035294117647059,0.7626303127506014,0.34308510638297873,0.5915814977221929,0.2784984083369406,951,296,247,129
raw_pca_event,linear_svm__C0.01__pca16,linear_svm,0.01,16,wet_decision_score,0.053991362651442755,23.616350799798965,0.6432532347504621,0.55328426521524,0.5450662829871811,0.7955752212389381,0.29411764705882354,0.7209302325581395,0.38563829787234044,0.5730732481359517,0.2737056358362695,899,348,231,145
raw_pca_event,linear_svm__C0.1__pca16,linear_svm,0.1,16,wet_decision_score,0.05495191911019705,26.606605200096965,0.6426370918052988,0.5528833029056971,0.5446127946127945,0.7953941541186891,0.2935222672064777,0.7201283079390537,0.38563829787234044,0.5729687420020816,0.27372763386126153,898,349,231,145
raw_pca_event,linear_svm__C1__pca16,linear_svm,1.0,16,wet_decision_score,0.05506032814158318,29.66903119906783,0.6426370918052988,0.5528833029056971,0.5446127946127945,0.7953941541186891,0.2935222672064777,0.7201283079390537,0.38563829787234044,0.5729623436673549,0.2737452112176587,898,349,231,145
raw_pca_event,linear_svm__C0.001__pca16,linear_svm,0.001,16,wet_decision_score,0.043650742537476105,20.12372470088303,0.6432532347504621,0.5523554402907404,0.544400179773712,0.7950530035335689,0.29327902240325865,0.7217321571772254,0.3829787234042553,0.5739007660939446,0.27382373857957876,900,347,232,144
raw_pca_event,logistic_regression__C0.01__pca16,logistic_regression,0.01,16,wet_probability,0.5228927589908235,6.9448581002652645,0.6432532347504621,0.5523554402907404,0.544400179773712,0.7950530035335689,0.29327902240325865,0.7217321571772254,0.3829787234042553,0.5738410483031616,0.27361878223754466,900,347,232,144
raw_pca_event,logistic_regression__C0.1__pca16,logistic_regression,0.1,16,wet_probability,0.5269606640157396,10.053065400570631,0.6414048059149723,0.5520813782866113,0.5437064761212833,0.7950310559006211,0.2923387096774194,0.7185244587008821,0.38563829787234044,0.5732140114999402,0.2734245323877834,896,351,231,145
raw_pca_event,logistic_regression__C1__pca16,logistic_regression,1.0,16,wet_probability,0.5274298384868649,13.01744900085032,0.6414048059149723,0.5520813782866113,0.5437064761212833,0.7950310559006211,0.2923387096774194,0.7185244587008821,0.38563829787234044,0.5731073725878277,0.27338986458602105,896,351,231,145
raw_pca_event,logistic_regression__C10__pca16,logistic_regression,10.0,16,wet_probability,0.5274773109965465,16.81030260026455,0.6414048059149723,0.5520813782866113,0.5437064761212833,0.7950310559006211,0.2923387096774194,0.7185244587008821,0.38563829787234044,0.5730945759183743,0.2733950908162966,896,351,231,145
