candidate,family,C,penalty,class_weight,threshold,n_samples,n_no_cough,n_cough,accuracy,balanced_accuracy,precision_cough,recall_cough,specificity_no_cough,f1_cough,macro_f1,roc_auc,tn_no_cough_correct,fp_no_cough_as_cough,fn_cough_as_no_cough,tp_cough_correct,cv_fit_seconds,mean_tree_nodes_cv,selected
lr__C0p001__l2__weight_none,lr,0.001,l2,,0.5,7628,5658,1970,0.9448085998951232,0.9618034210578257,0.8255569567044977,0.9969543147208122,0.9266525273948392,0.9031961370429984,0.9322985361111205,0.9943297572459282,5243,415,6,1964,0.23832499999844003,0.0,False
lr__C0p001__l2__weight_balanced,lr,0.001,l2,balanced,0.5,7628,5658,1970,0.9087572102779234,0.938163294235017,0.7392937640871525,0.9989847715736041,0.8773418168964299,0.8497409326424871,0.8921144422248579,0.9937602388603892,4964,694,2,1968,0.2065459000004921,0.0,False
lr__C0p003__l1__weight_none,lr,0.003,l1,,0.5,7628,5658,1970,0.9457262716308338,0.9429004885943806,0.8642322097378277,0.9370558375634518,0.9487451396253093,0.899171943497321,0.9310209493271357,0.9857598871729172,5368,290,124,1846,0.17711550000240095,0.0,False
lr__C0p003__l1__weight_balanced,lr,0.003,l1,balanced,0.5,7628,5658,1970,0.8829313057157839,0.918438202589927,0.6902154715648181,0.9918781725888325,0.8449982325910216,0.8139970839408457,0.8642917031373286,0.9857721782911936,4781,877,16,1954,0.17356199998175725,0.0,False
lr__C0p003__l2__weight_none,lr,0.003,l2,,0.5,7628,5658,1970,0.9648662821185108,0.9731734231930711,0.8868181818181818,0.9903553299492386,0.9559915164369035,0.9357314148681055,0.9557783900968707,0.9958184180164468,5409,249,19,1951,0.3129094000032637,0.0,False
lr__C0p003__l2__weight_balanced,lr,0.003,l2,balanced,0.5,7628,5658,1970,0.9400891452543262,0.9589529582119922,0.812732534105002,0.9979695431472081,0.9199363732767762,0.8958760537707906,0.9269110645222776,0.9955932303750317,5205,453,4,1966,0.2775361999956658,0.0,False
lr__C0p01__l1__weight_none,lr,0.01,l1,,0.5,7628,5658,1970,0.9723387519664395,0.9720893824475654,0.9250845819236346,0.9715736040609138,0.972605160834217,0.9477593463728645,0.9644743063325498,0.9956261562174219,5503,155,56,1914,0.20682560000568628,0.0,False
lr__C0p01__l1__weight_balanced,lr,0.01,l1,balanced,0.5,7628,5658,1970,0.954116413214473,0.9670851029852165,0.8527874564459931,0.9939086294416244,0.9402615765288088,0.9179559306141585,0.9430543984280984,0.995704568169054,5320,338,12,1958,0.2146731999819167,0.0,False
lr__C0p01__l2__weight_none,lr,0.01,l2,,0.5,7628,5658,1970,0.9745673833245936,0.9775621598634878,0.9228571428571428,0.983756345177665,0.9713679745493107,0.9523341523341523,0.967495522439202,0.9967351380642475,5496,162,32,1938,0.31561680002778303,0.0,False
lr__C0p01__l2__weight_balanced,lr,0.01,l2,balanced,0.5,7628,5658,1970,0.9609334032511798,0.9725075496175399,0.8708961845607809,0.9964467005076142,0.9485683987274656,0.9294507575757576,0.9512192149010043,0.996640846346667,5367,291,7,1963,0.2747176000120817,0.0,False
lr__C0p03__l1__weight_none,lr,0.03,l1,,0.5,7628,5658,1970,0.9791557420031463,0.9778427023952428,0.9458394879369768,0.9751269035532995,0.9805585012371862,0.960259935016246,0.9730664401869324,0.9969167236364486,5548,110,49,1921,0.23618900000292342,0.0,False
lr__C0p03__l1__weight_balanced,lr,0.03,l1,balanced,0.5,7628,5658,1970,0.9707656004195071,0.9778118400252641,0.903837263060564,0.9923857868020305,0.9632378932484977,0.9460440358093395,0.9629977438778784,0.9969397806977407,5450,208,15,1955,0.23702409997349605,0.0,False
lr__C0p03__l2__weight_none,lr,0.03,l2,,0.5,7628,5658,1970,0.9779758783429471,0.9783708616163629,0.9382295719844358,0.9791878172588833,0.9775539059738424,0.9582712369597616,0.9716556540987589,0.9972122487722339,5531,127,41,1929,0.3746753000013996,0.0,False
lr__C0p03__l2__weight_balanced,lr,0.03,l2,balanced,0.5,7628,5658,1970,0.9715521761929733,0.9791692460071808,0.904476234425473,0.9949238578680203,0.9634146341463414,0.9475465313028765,0.9640151938823942,0.997194843831025,5451,207,10,1960,0.35621910002373625,0.0,False
lr__C0p1__l1__weight_none,lr,0.1,l1,,0.5,7628,5658,1970,0.9796801258521237,0.9768726909295136,0.9512680258577823,0.9710659898477157,0.9826793920113114,0.9610650590303944,0.9736589153245099,0.9972610543805726,5560,98,57,1913,0.33281669998541474,0.0,False
lr__C0p1__l1__weight_balanced,lr,0.1,l1,balanced,0.5,7628,5658,1970,0.9766649187205034,0.9804650169653318,0.9262607040913415,0.9883248730964467,0.972605160834217,0.956286836935167,0.9701856216149369,0.9972360235630606,5503,155,23,1947,0.3091116999858059,0.0,False
lr__C0p1__l2__weight_none,lr,0.1,l2,,0.5,7628,5658,1970,0.979417933927635,0.9778540066354096,0.9472126295017267,0.9746192893401016,0.9810887239307176,0.960720540405304,0.9733880701848885,0.9974123158799454,5551,107,50,1920,0.4843985999614233,0.0,False
lr__C0p1__l2__weight_balanced,lr,0.1,l2,balanced,0.5,7628,5658,1970,0.9752228631358154,0.9801546886578996,0.9198491277699199,0.9903553299492386,0.9699540473665607,0.9538010266438524,0.968436563478666,0.9974232612553449,5488,170,19,1951,0.4441520000254968,0.0,False
lr__C0p3__l1__weight_none,lr,0.3,l1,,0.5,7628,5658,1970,0.9802045097011012,0.977060736067524,0.9536159600997506,0.9705583756345177,0.9835630965005302,0.9620125786163523,0.9743136202185564,0.9974931501687562,5565,93,58,1912,0.456457499996759,0.0,True
lr__C0p3__l1__weight_balanced,lr,0.3,l1,balanced,0.5,7628,5658,1970,0.9779758783429471,0.980190664850811,0.933589990375361,0.9847715736040609,0.975609756097561,0.958498023715415,0.9717543651767653,0.997463812974038,5520,138,30,1940,0.42938620001950767,0.0,False
lr__C0p3__l2__weight_none,lr,0.3,l2,,0.5,7628,5658,1970,0.9796801258521237,0.977534437560222,0.9494799405646359,0.9730964467005077,0.9819724284199364,0.9611431436450238,0.9736930771034208,0.9973169475680631,5556,102,53,1917,0.544614599988563,0.0,False
lr__C0p3__l2__weight_balanced,lr,0.3,l2,balanced,0.5,7628,5658,1970,0.9781069743051914,0.9814370919034725,0.9311334289813487,0.9883248730964467,0.9745493107104984,0.9588771238611179,0.9719798750167581,0.9973686240945394,5514,144,23,1947,0.4964172000036342,0.0,False
lr__C1__l1__weight_none,lr,1.0,l1,,0.5,7628,5658,1970,0.979417933927635,0.9755378934279301,0.9534767383691846,0.9675126903553299,0.9835630965005302,0.9604434366339129,0.9732668144452457,0.9973557049629203,5565,93,64,1906,0.8072675000003073,0.0,False
lr__C1__l1__weight_balanced,lr,1.0,l1,balanced,0.5,7628,5658,1970,0.9781069743051914,0.9802790352997328,0.9340394800192585,0.9847715736040609,0.9757864969954048,0.958734865332345,0.9719180616250449,0.997313000055624,5521,137,30,1940,0.7601568000100087,0.0,False
lr__C1__l2__weight_none,lr,1.0,l2,,0.5,7628,5658,1970,0.9778447823807027,0.9739811380678363,0.9491271820448878,0.965989847715736,0.9819724284199364,0.9574842767295597,0.9712516676618279,0.9970661010957935,5556,102,67,1903,0.7311639000108698,0.0,False
lr__C1__l2__weight_balanced,lr,1.0,l2,balanced,0.5,7628,5658,1970,0.9782380702674358,0.9805328424063318,0.9340712223291626,0.9852791878172589,0.9757864969954048,0.95899209486166,0.9720906227341848,0.9971180467708451,5521,137,29,1941,0.6433878999814624,0.0,False
lr__C3__l1__weight_none,lr,3.0,l1,,0.5,7628,5658,1970,0.977582590456214,0.9726463405662527,0.951329653788259,0.9624365482233502,0.9828561329091552,0.9568508705526116,0.9708543735566565,0.9969522512484008,5561,97,74,1896,1.2021605000045383,0.0,False
lr__C3__l1__weight_balanced,lr,3.0,l1,balanced,0.5,7628,5658,1970,0.9774514944939696,0.9783482531360295,0.935562015503876,0.9802030456852792,0.9764934605867798,0.9573624194348042,0.9710176916279349,0.996959787408512,5525,133,39,1931,1.1418322999961674,0.0,False
lr__C3__l2__weight_none,lr,3.0,l2,,0.5,7628,5658,1970,0.9778447823807027,0.973484828094805,0.9504752376188094,0.9644670050761421,0.9825026511134677,0.9574200050390527,0.9712235136385128,0.9968086156253309,5559,99,70,1900,0.8891363999864552,0.0,False
lr__C3__l2__weight_balanced,lr,3.0,l2,balanced,0.5,7628,5658,1970,0.9778447823807027,0.9792751111135036,0.9352344127597874,0.9822335025380711,0.9763167196889361,0.9581579598910621,0.9715457714227531,0.9969183385279009,5524,134,35,1935,0.7895567000086885,0.0,False
lr__C10__l1__weight_none,lr,10.0,l1,,0.5,7628,5658,1970,0.9773203985317253,0.972469599668409,0.9503759398496241,0.9624365482233502,0.9825026511134677,0.9563682219419924,0.9705231420577025,0.9966569055449991,5559,99,74,1896,1.581021999983932,0.0,False
lr__C10__l1__weight_balanced,lr,10.0,l1,balanced,0.5,7628,5658,1970,0.9766649187205034,0.9768254104964356,0.935374149659864,0.9771573604060914,0.9764934605867798,0.9558093346573983,0.9699780552873738,0.9967271533231774,5525,133,45,1925,1.5008224999910453,0.0,False
lr__C10__l2__weight_none,lr,10.0,l2,,0.5,7628,5658,1970,0.9770582066072365,0.9726237320859195,0.9485257371314343,0.9634517766497462,0.9817956875220926,0.9559304960967011,0.9702115927537116,0.996603344978495,5555,103,72,1898,1.002930100003141,0.0,False
lr__C10__l2__weight_balanced,lr,10.0,l2,balanced,0.5,7628,5658,1970,0.9767960146827478,0.9770792176030345,0.9354055366682856,0.9776649746192894,0.9764934605867798,0.9560685033507074,0.9701514690976392,0.9967281402012872,5525,133,44,1926,0.8787778000114486,0.0,False
