candidate_key,n_estimators,max_depth,min_samples_leaf,max_features,max_samples,threshold_oof,selected_rf,elapsed_seconds_total_search,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,fixed_0p5__accuracy,fixed_0p5__balanced_accuracy,fixed_0p5__macro_f1,fixed_0p5__dry_precision,fixed_0p5__wet_precision,fixed_0p5__dry_recall,fixed_0p5__wet_recall,fixed_0p5__roc_auc,fixed_0p5__average_precision_wet,fixed_0p5__tn_dry_correct,fixed_0p5__fp_dry_as_wet,fixed_0p5__fn_wet_as_dry,fixed_0p5__tp_wet_correct
rf__trees200__depth10__leaf5__featuressqrt,200,10,5,sqrt,0.8,0.40675030378153165,False,574.2986249998212,0.7221195317313617,0.6334010134962207,0.626873538597839,0.8327759197324415,0.41217798594847777,0.7987169206094628,0.46808510638297873,0.6711319933798563,0.3632350463561008,996,251,200,176,0.7541589648798521,0.5780874097834803,0.5851080801085062,0.8002832861189801,0.44549763033175355,0.9061748195669607,0.25,0.6711319933798563,0.3632350463561008,1130,117,282,94
rf__trees300__depth6__leaf10__features0p1,300,6,10,0.1,0.8,0.5022282656426736,False,574.2986249998212,0.7313616759088108,0.6282695490453685,0.6268272926326093,0.8283400809716599,0.422680412371134,0.8203688853247795,0.43617021276595747,0.6723050214130936,0.36477794633646754,1023,224,212,164,0.729513247073321,0.6270666621167398,0.6252763105786125,0.827922077922078,0.4194373401534527,0.8179631114675221,0.43617021276595747,0.6723050214130936,0.36477794633646754,1020,227,212,164
rf__trees300__depth10__leaf5__features0p1,300,10,5,0.1,0.8,0.3720109699307507,False,574.2986249998212,0.7005545286506469,0.6481609053217082,0.6264194373401535,0.8462238398544131,0.3950381679389313,0.7457898957497995,0.550531914893617,0.6703983176645224,0.36267969230667985,930,317,169,207,0.7486136783733827,0.5689057994505964,0.5740508218148883,0.7964664310954064,0.4230769230769231,0.9037690457097033,0.23404255319148937,0.6703983176645224,0.36267969230667985,1127,120,288,88
rf__trees200__depth10__leaf5__features0p1,200,10,5,0.1,0.8,0.3724031843581279,False,574.2986249998212,0.6999383857054837,0.6468311180876657,0.625394025364546,0.8454545454545455,0.3938814531548757,0.7457898957497995,0.5478723404255319,0.6715350884676414,0.3644815328927179,930,317,170,206,0.7443006777572396,0.566099063283796,0.570745743592685,0.7954545454545454,0.40930232558139534,0.8981555733761026,0.23404255319148937,0.6715350884676414,0.3644815328927179,1120,127,288,88
rf__trees300__depth8__leaf5__featuressqrt,300,8,5,sqrt,0.8,0.4151880572093203,False,574.2986249998212,0.7079482439926063,0.639968904093228,0.6250891830250103,0.839332748024583,0.3987603305785124,0.7666399358460305,0.5132978723404256,0.667563855380573,0.3599401170187495,956,291,183,193,0.7430683918669131,0.5875889368527019,0.5946886013636323,0.8055964653902798,0.4226415094339623,0.8773055332798717,0.2978723404255319,0.667563855380573,0.3599401170187495,1094,153,264,112
rf__trees200__depth6__leaf5__features0p1,200,6,5,0.1,0.8,0.47828937368999175,False,574.2986249998212,0.7196549599507086,0.6317971642580491,0.6248157648862733,0.8322147651006712,0.40835266821345706,0.7955092221331195,0.46808510638297873,0.6714604412291628,0.36216498288901233,992,255,200,176,0.7258163894023414,0.6135149891654865,0.6138303213522449,0.8208,0.4075067024128686,0.8227746591820368,0.40425531914893614,0.6714604412291628,0.36216498288901233,1026,221,224,152
rf__trees300__depth4__leaf5__features0p1,300,4,5,0.1,0.8,0.5659836794491295,False,574.2986249998212,0.7393715341959335,0.6214073350509307,0.6243805824180333,0.8233908948194663,0.4326647564469914,0.8412189254210104,0.4015957446808511,0.6728360831954137,0.3619826098526409,1049,198,225,151,0.6882316697473814,0.6317822348103533,0.6115770415383335,0.837739288969918,0.376425855513308,0.7369687249398557,0.526595744680851,0.6728360831954137,0.3619826098526409,919,328,178,198
rf__trees100__depth6__leaf5__features0p1,100,6,5,0.1,0.8,0.48848590397510583,False,574.2986249998212,0.722735674676525,0.6291578511832654,0.6242220493442987,0.8301574150787076,0.4110576923076923,0.8035284683239775,0.45478723404255317,0.6718614035387056,0.36301989944009094,1002,245,205,171,0.7264325323475046,0.6222753757955263,0.6206666385917627,0.8256285482562855,0.4128205128205128,0.8163592622293504,0.42819148936170215,0.6718614035387056,0.36301989944009094,1018,229,215,161
rf__trees300__depth6__leaf5__featuressqrt,300,6,5,sqrt,0.8,0.4780434693333299,False,574.2986249998212,0.722735674676525,0.6291578511832654,0.6242220493442987,0.8301574150787076,0.4110576923076923,0.8035284683239775,0.45478723404255317,0.6715201590199457,0.36043066397457457,1002,245,205,171,0.729513247073321,0.6168495879472435,0.6176042334743955,0.8221690590111643,0.4146341463414634,0.8267842822774659,0.40691489361702127,0.6715201590199457,0.36043066397457457,1031,216,223,153
rf__trees200__depth6__leaf5__featuressqrt,200,6,5,sqrt,0.8,0.48886346695069394,False,574.2986249998212,0.7264325323475046,0.6269195004180246,0.6240389832630744,0.8282910874897792,0.415,0.8123496391339214,0.44148936170212766,0.6705497449197222,0.36183148959101,1013,234,210,166,0.7282809611829945,0.6169764882526575,0.6173015094749214,0.8224,0.4128686327077748,0.8243785084202085,0.4095744680851064,0.6705497449197222,0.36183148959101,1028,219,222,154
