fold_excluded,gold_multiplier,class_name,consensus_group,recording_count,weight_sum,weight_mean
4,2.0,wet,gold_4_of_4,2,8.490196078431373,4.245098039215686
4,2.0,wet,weak_1_vote,292,619.7843137254902,2.122549019607843
4,2.0,wet,weak_4_eval_2_1_1,4,8.490196078431373,2.122549019607843
4,3.0,dry,gold_3_of_4,22,39.39981617647058,1.7909007352941173
4,3.0,dry,gold_4_of_4,23,41.190716911764696,1.7909007352941173
4,3.0,dry,weak_1_vote,949,566.5215992647057,0.5969669117647057
4,3.0,dry,weak_4_eval_2_1_1,4,2.3878676470588234,0.5969669117647058
4,3.0,wet,gold_3_of_4,3,18.79581993569132,6.265273311897107
4,3.0,wet,gold_4_of_4,2,12.530546623794212,6.265273311897106
4,3.0,wet,weak_1_vote,292,609.8199356913184,2.0884244372990355
4,3.0,wet,weak_4_eval_2_1_1,4,8.353697749196142,2.0884244372990355
